id,name,vendor_sku,change_to
522896,H-2 Vented Cap Set,53-0933,
72581,H-4 Bulb Only,33-2168,
38954,HAND DEFLECTOR CLEAR,562-30433,
38952,HAND DEFLECTOR CLEAR,562-30430,
24343,Hang Tags/Tagger Locks,99040922,
82816,Hardware Dress Up Kit Cadmium,8319 CAD,
87089,Headbolt Chrome,2055-1,
83031,Headbolt Cover Kit Chrome Acorn Type,9110-9,
61277,Head Breather Stud Zinc,12-1763,
75466,Head Screw,37-4050,
87281,Head Stud Set Parkerized,2183-16,
57250,HEATHSHIELD BLACK SPORTSTER 14-22,82-96423,
57082,HEAVEY HITTERS 3.0 BAG GAURDS 25-26 SOFTAIL,750-03142,
82142,Helicpoter Mechanic Toy,68-0052,
82102,Henderson Greeting Card,68-0022,
82606,Hex Head Pulley Bolts Zinc Plated 7/16 inch-14 x 1-5/8 inch,73-0403,
77038,Hex Reducing Nipple Fitting,40-0609,
499812,Hex Stem Nut 1 inch-24 Black,24-3094,
499798,Hex Stem Nut 1 inch-24 Chrome,24-2776,
70309,Hi-Low Beam Switch Relay,32-0448,
90169,Hitachi Starter Field Coil Set,32-0308,
62252,Hose Clamp,16-0085,
62251,Hose Clamp,16-0084,
74652,Hose Clamp Assortment Set,35-6240,
74101,Hose Clamp Assortment Set,35-0472,
85733,Hose Clamp Crimping Plier,16-0050,
77204,Hose Forming Coil Set,40-1507,
77203,Hose Forming Coil Set,40-1506,
91845,Idle Mixture Screw,35-1258,
59141,Idler Stud Spacer Set,10-0832,
506530,Ignition Breaker Kit,32-2961,
79380,inchHow to Restore Your Military Harley-Davidson 1932-1952,48-1393,
74175,inchL inch Series Idle Mixture Screw,35-0660,
74207,inchL inch Series Idle Mixture Screw,35-0721,
74325,inchL inch Series Throttle Arm Kit,35-0998,
81473,Indian 16 inch x 3 inch Chrome Rim,52-0786,
75315,Indian Kick Start Black Pedal Bolt,37-0993,
75089,Indian Kick Start Pedal Bolts,37-0057,
513022,Indian Lug Nut Zinc Plated,37-1148,
513021,Indian Step Studs Adapter Parkerized,37-1147,
94856,Indian Switch Cover Chrome,49-0175,
95236,Indian Throttle Chrome Sleeve Tube Nut,49-3005,
80343,Indian Throttle Driver,49-3008,
60030,"INTAKE GUIDE STANDARD, CAST",11-0966,
86338,Internal Spline Washer,17-1305,
68175,ISO Mount Stud with Spring 1/4 inch x 20,28-0418,
82042,ITEM INCLUDED IN SERVICE,60-4444,
82041,ITEM INCLUDED IN SERVICE,60-3333,
82040,ITEMS INCLUDED IN SERVICE,60-2222,
82039,ITEMS INCLUDED IN SERVICE,60-1111,
85476,James Rocker Cover Breather Seal,15-1448,
84715,James Super Nut Seal,14-0685,
63161,Kick Cover Filler Plug,17-1869,
62877,Kick Cover Lever Bushing Zicad Plated,17-0354,
519004,Knucklehead 1940-1947 Repair Manual,48-0501,
61219,Knucklehead Breather Stud Kit,12-0997,
79179,Knucklehead Engine Plaque,48-0470,
93289,Knucklehead Tank Stainless Steel Trim Set 1940-46,38-6679,
70189,Knuckle Nut Set Cadmium Plated,3190-4,
70188,Knuckle Nut Set Chrome Plated,3189-4,
70190,Knuckle Nut Set Parkerized,3191-4,
92718,Large Magnetic Docking Points Cover Set Chrome,37-1154,
92719,Large Magnetic Docking Points Cover Set Gloss Black,37-1155,
72606,LED Stop Lamp,33-2241,
91405,Left Bearing Bushing Screws,3375-3,
72544,Lens Grill V Style Chrome,33-2020,
56160,LICENSE SUPPORT `18-25 SCOUT BOBBER,561-9741BK,
63033,Lock and Ring Kit,17-0926,
63035,Lock Tab Assortment,17-0940,
94883,Long Headbolt,49-0276,
76170,Lower Left Outer Tank shifter Tab,38-0848,
91847,M8 58mm Throttle Body,35-1307,
75842,M8 Engine Bolt Cover Kit Black,37-9547,
75841,M8 Engine Bolt Cover Kit Chrome,37-9546,
523838,M8 Front Engine Hex Flange Bolt,73-3555,
77775,M8 Timer Cover Black,42-1229,
77776,M8 Timer Cover Chrome,42-1230,
82605,M8 x 1.25 Flange Nut Zinc,73-0402,
27653,Magic Power Blocks™,21130318,
86300,Main Bearing Race .002,17-1137,
63083,Main Bearing Race .005,17-1138,
86301,Main Bearing Race .010,17-1139,
63082,Main Bearing Race Standard,17-1136,
82674,Manifold Nipple Kit Weld-On Type,7627-4,
24356,Mechanic Bar Stool,99050228,
66007,Mega Neck Cup Set Zinc Plated,24-0308,
79284,Metal Motorcycle Key Holder,48-0947,
79145,Midwest Motorcyle Supply Hat Pink,48-0282,
79154,MISC ITEM,48-0303,
82096,Motorcycle Cookie Cutter,68-0016,
82140,Motorcycle Mechanic Toy,68-0050,
82147,Motorcycle Night Light,68-0057,
82104,Motorcycle Salt and Pepper Set,68-0024,
82046,MOTORSHOP COMMENTS,60-9999,
42628,MULTIBARBAR RUBBER PAD KIT 2/PC,830-6008,
79503,Natural Leather Concho Rosette 1-3/4 inch,48-1667,
79504,Natural Leather Concho Rosette 2 inch,48-1668,
88267,Neck Cup Cone Cover Nut Zinc,24-0622,
80919,Neck Hallmark Number Plate,51-0072,
80920,Neck Hallmark Number Plate,51-0073,
81048,Neck Lock Pin Raw Steel,51-0473,
74288,Needle Valve Lever,35-0922,
84766,NEUTRAL INDICATOR WASHER,14-5848,
77322,Nevr-Dull Wadding Polish,41-0119,
79876,Nickel Plated Head Primer Cups,49-0668,
495731,Nickel Plated Secondary Chain 120 Link,19-0832,
82045,NO SERVICE PERFORMED,60-8888,
516832,NYC Electrical Ignition Cover 2 Hole,42-1748,
516834,NYC M8 Electrical Ignition Cover 2 Hole,42-1750,
516833,NYC TC-88 Electrical Ignition Cover 5 Hole,42-1749,
82509,Nyloc Nut 1/4 inch-20 Stainless Steel,73-0273,
82508,Nyloc Nut 1/4 inch-28 Stainless Steel,73-0272,
82503,Nyloc Nut 3/8 inch-24 Stainless Steel,73-0267,
82510,Nyloc Nut 5/16 inch-24 Stainless Steel,73-0274,
513014,OE Balancer Bracket Assembly,37-1107,
495690,OE Balancer Chain,19-0635,
513011,OE Balancer Shift Bolt Set,37-1104,
513010,OE Balancer Support Screws,37-1103,
90233,OE Chrome Oil Pressure Sender Unit,32-0433,
515361,OE Engine Return and Feed Fitting Assembly,40-0077,
515360,OE Engine Vent Fitting Assembly Chrome,40-0076,
93345,OE FLHT/FLTR Trim Piece Black,39-0000,
94760,OE Parts Book for 2011 VRSC,48-1311,
91864,OE Screamin' Eagle 68mm Throttle Body,35-1748,
513012,OE Sprocket Washer Set,37-1105,
93959,OE Starter Cover Chrome,42-1879,
93537,Oil Feed Valve Assembly Zinc Plated,40-0325,
96109,Oil Passage Bolt Cadmium,8772-2,
96108,Oil Passage Bolt Chrome,8771-2,
90292,Oil Pressure Sender Unit,32-0586,
90162,Oil Pressure Sender Unit,32-0282,
74584,OKO Shorty Drain Valve,35-2448,
74418,OKO Single Throttle Disc,35-1390,
79573,One Gallon Oilzum Metal Can,48-1877,
79328,OUR HOLIDAY GIFT TO YOU!,48-1270,
78030,Outlaw Black Pulley Cover Kit,43-0389,
78029,Outlaw Chrome Pulley Cover Kit,43-0388,
64294,"OUTOBOARD PLATE ONLY, BILLET ALUM POLISH",20-8906,
82531,Oval Phillips Screw 10-24 x 1/2 inch Stainless Steel,73-0296,
77387,Oval V-Fire Cover Chrome,42-0040,
68613,Oversized Threaded Nipple,2995-1,
519352,Paint and Number Reference Book,48-1757,
93859,Panhead Cover Set Aluminum,42-0759,
