id,name,vendor_sku,change_to
87282,Upper Bracket and Lock Kit Cadmium Plated,2185-4,
85596,UPPER ROCKER COVER RUBBER,15-8365,
71005,USB Engine Management System,32-3012,
71003,USB Engine Management System,32-3008,
71002,USB Engine Management System,32-3005,
71004,USB Engine Management System,32-3011,
71014,USB Engine Management System,32-3029,
70752,USB Plug Charger,32-1632,
70587,USB Power Supply Port,32-1355,
56885,UTILITY CONTAINER BLUE W/ AUTOSTOP SPOUT 2.5 GAL,28-1372,
56882,UTILITY CONTAINER BLUE W/ AUTOSTOP SPOUT 5 GAL,28-1362,
56887,UTILITY CONTAINER ORANGE W/ AUTOSTOP SPOUT 2.5 GAL,28-1373,
56883,UTILITY CONTAINER ORANGE W/ AUTOSTOP SPOUT 5 GAL,28-1363,
56884,UTILITY CONTAINER WHITE W/ AUTOSTOP SPOUT 2.5 GAL,28-1371,
56881,UTILITY CONTAINER WHITE W/ AUTOSTOP SPOUT 5 GAL,28-1361,
83478,Valve Spacer,11-0813,
57423,VANILLA BERRY,100-0008,
506378,V-Fire Dual Fire Ignition,32-1940,
77326,VHT Black Epoxy Enamel Gloss Finish,41-0126,
77323,VHT Black Wrinkle Finish,41-0123,
77325,VHT Flame Proof 1350 Black Finish,41-0125,
77332,VHT Heat Silver Finish,41-0149,
78313,VL Hub Bearing Race,44-0719,
94444,VL Hub Lock Nut Set,44-0718,
78315,VL Hub Washer Set,44-0722,
79874,VL Wave Washer,49-0665,
77404,Volt Pack Cover Chrome,42-0093,
71001,Volt Tech Start Boost Relay,32-3000,
79058,V-Twin Authorized Counter Mat,48-0012,
84492,V-Twin Body Plug Seal Washer,14-0032,
79620,V-Twin Can with Lid,48-2165,
79068,V-Twin Clear Shop Bags,48-0054,
79114,V-Twin Mens Evolution Engine Buckle and Fob Set,48-0224,
79369,V-Twin Metal Box,48-1372,
79378,V-Twin Metal Box,48-1383,
519498,V-Twin Metal Box,48-2600,
79366,V-Twin Metal Box,48-1369,
519500,V-Twin Metal Box,48-2606,
519499,V-Twin Metal Box,48-2605,
518946,VTWIN MFG Restoration Parts for Knucklehead,48-0292,
79428,V-Twin Mouse Pad,48-1505,
79098,V-Twin Product Guide,48-0204,
79305,V-Twin Product Sign,48-1114,
79099,V-TWIN RETAIL PRODUCT GUIDE FOR AMAZON,48-0205,
85126,V-Twin Washer Seal,15-0663,
79065,V-Twin White Shop Bag,48-0040,
79073,V-Twin Wire Tags,48-0118,
92691,Washer 3/16 inch X 3/8 inch X 1/32 inch,37-1021,
