"sku","product_name","product_url","price","oem_no","fitment_raw","description","uom","finish","manufacturer","origin","catalog_pages","replacement_items","tech_note","extra_attributes","source","error"
"32-4974","OE Factory Spark Plug","https://www2.vtwinmfg.com/oe-3-4-spark-plug.html","$10.69","32337-04","FX 1948-1974 | FLH 1948-1974","OE 3-4 spark plug features copper coated electrodes for foul resistance. Replaces 3-4 OEM short reach plugs.","1 - EA","","OE","USA","","","","","product_page",""
"32-5063","Spotlamp Adapter Harness Kit","https://www2.vtwinmfg.com/spotlamp-adapter-harness-kit.html","$14.34","68355-05","All 1990-2004 models using 4"" auxiliary lamps","Spotlamp adapter harness kit allows the mounting of late style 4-1/2"" auxiliary spotlamps, which are equipped with spade connectors on pre-2005 models.","1 - KIT","","Namz","USA","1316","","","","product_page",""
"32-5122","Hitachi Type Black 1.4kW Starter Motor","https://www2.vtwinmfg.com/hitachi-type-black-1-4kw-starter-motor.html","$322.32","","FX 1974-1984 | FXR 1984-1988 | FLT 1984-1988 | FLST 1986-1988 | FL 1982-1984 | XL 1974-1976 | FXST 1984-1988","Hitachi type high torque starter motor features 1.4kW design and features a black finish. Generates more power and shaft speed than the original type 0.8kw starter.Starter motor measures 6"" in length. The screw measures 3/4"" in length and 10-24 TPI.","1 - EA","","All Balls Racing","USA","370","","","{""Measurements"": ""Length: 6\""""}","product_page",""
"32-5131","Replacement Starter Motor 1.6kW Chrome","https://www2.vtwinmfg.com/replacement-starter-motor-1-6kw-chrome.html","$371.72","31400053","FLT 2018-UP | FLHX 2018-UP | FLHR 2018-UP | FLTR 2018-UP | FLHT 2018-UP","Direct replacement starter motor is 1.6kW field wound permanent magnet type and features a chrome finish. Chrome units have all aluminum parts polished and all steel parts are chrome plated.","1 - EA","","V-Twin","Imported","366","","","","product_page",""
"32-5132","Replacement Starter Motor 1.6kW Black","https://www2.vtwinmfg.com/replacement-starter-motor-1-6kw-black-1.html","$300.22","31400057","FXST 2018-UP | FLST 2018-UP","Direct replacement starter motor is 1.6kW field wound permanent magnet type and features a black finish.","1 - EA","","V-Twin","Imported","366","","","","product_page",""
"32-5133","Replacement Starter Motor 1.6kW Chrome","https://www2.vtwinmfg.com/replacement-starter-motor-1-6kw-chrome-1.html","$371.72","31400057","FXST 2018-UP | FLST 2018-UP","Direct replacement starter motor is 1.6kW field wound permanent magnet type and features a chrome finish. Chrome units have all aluminum parts polished and all steel parts are chrome plated.","1 - EA","","V-Twin","Imported","366","","","","product_page",""
"32-5135","Replacement Starter Motor 1.8kW Chrome","https://www2.vtwinmfg.com/replacement-starter-motor-1-8kw-chrome.html","$241.56","","FLT 2018-UP | FLHX 2018-UP | FLHR 2018-UP | FLTR 2018-UP | FLHT 2018-UP","Direct replacement starter motor is 1.8kW field wound permanent magnet type and features a chrome finish.","1 - EA","","V-Twin","Imported","","","","","product_page",""
"32-5136","Replacement Starter Motor 1.8kW Black","https://www2.vtwinmfg.com/replacement-starter-motor-1-8kw-black-1.html","$188.91","","FXST 2018-UP | FLST 2018-UP","Direct replacement starter motor is 1.8kW field wound permanent magnet type and features a black finish.","1 - EA","","V-Twin","Imported","","","","","product_page",""
"32-5137","Replacement Starter Motor 1.8kW Chrome","https://www2.vtwinmfg.com/replacement-starter-motor-1-8kw-chrome-1.html","$241.56","","FXST 2018-UP | FLST 2018-UP","Direct replacement starter motor is 1.8kW field wound permanent magnet type and features a chrome finish.","1 - EA","","V-Twin","Imported","","","","","product_page",""
"32-5140","Ultima 12 Volt AGM Thundervolt Battery","https://www2.vtwinmfg.com/ultima-12-volt-agm-thunderbolt-battery.html","$118.91","65989-97B","FLST 1997-UP | FXST 1997-UP | XL 1998-2003 | FXD 1997-UP","Ultima 12 volt AGM Thundervolt battery has 310 cold cranking amps. Battery reduces internal battery resistance by replacing 3 internal connections with 1. Battery features flush mount, threaded terminals which allow for easy connection to bike terminals.","1 - EA","","Ultima","Imported","","","","","product_page",""
