sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
16-1810,Crank Flywheel Nut Socket Tool,https://www2.vtwinmfg.com/crank-flywheel-nut-socket-tool-1.html,$120.33,23969-83,FX 1983-1984 | FLST 1986-1986 | FXST 1984-1986 | FL 1983-1984 | FLT 1983-1984 | FXR 1983-1986,"The Jims flywheel nut socket features a low profile to give 100% nut contact, machined flat at nut receiving end to eliminate rounding off the nut. Fits 1/2"" Drive.",1 - EA,,Jims,USA,1291,,,,product_page,
10-2572,3-Hole Crank Pin Kit,https://www2.vtwinmfg.com/3-hole-crank-pin-kit.html,$167.60,,XL 1957-1980,"Crank pin kit includes crank pin, rod races, standard rod rollers, and retainers.",1 - KIT,,Sifton,Imported,857,10-0550 - 3-Hole Crank Pin 10-0137 - Connecting Rod Race Set,,,product_page,
41-0168,Gasgacinch Gasket Sealer,https://www2.vtwinmfg.com/gasgacinch-gasket-sealer.html,$18.78,,All models,"Gasgacinch gasket sealer is manufactured from premium grade materials and offers the best performance, durability, and quality. Sealer has a unique formula that is designed to hold the gaskets in place during assembly. Because Gasgacinch is not a pasty sealant, it is able to flow in tiny fissures and cracks sealing air pockets where other sealants may fail to do. When cured, it is very flexible, had high peel strength, high shear strength, fatigue resistant, vibration dampening, high heat resistant, gas and oil resistant. Adheres to carbon steel, alloy steel, aluminum, titanium, lead, magnesium,. synthetic and natural   rubber, copper and cork.",1 - EA,,Porter Mfg,USA,1287,,,,product_page,
16-0027,Rod Lapping Tool,https://www2.vtwinmfg.com/rod-lapping-tool.html,$331.43,96740-36,FXD 1991-1998 | FL 1941-1984 | FXST 1984-1998 | XL 1957-UP | EL 1936-1940 | FX 1971-1984 | UL 1937-1948 | FLST 1986-1998 | WL 1929-1952 | FLT 1979-1998,"Rod lapping tool includes arbor assembly 1.500 lap for 45"" or Indians. The tapered middle portion of this rod lapping tool measures 3-3/8"" length, 1-1/8"" diameter to 3/4"" diameter.",1 - EA,,Eastern,USA,1299,,,,product_page,
10-0881,Connecting Rod Kit,https://www2.vtwinmfg.com/connecting-rod-kit.html,$371.70,,XL 2000-2003,"Kit includes new rods, crank pin, nuts, cages and standard rollers fitted and assembled. Piston pin bushings are installed and honed for stock wrist pin.",1 - KIT,,Motorshop,Imported,857,This Item is not available. Please use an Alternate Item 10-0891 - Connecting Rod Assembly,,,product_page,
24-0314,FL Fork Steering Damper Knob Kit Black,https://www2.vtwinmfg.com/fork-steering-damper-knob-kit-zinc-plated.html,$59.64,,WL 1936-1952 | FL 1949-1959,Kit is adjustable and includes a spring and spider washer that's zinc plated and a black knob and cover. This is a 4 piece set.,1 - KIT,,V-Twin,Imported,612,,,,product_page,
16-1795,Main Bearing End Play Tool,https://www2.vtwinmfg.com/main-bearing-end-play-tool.html,$99.96,,FXD 1991-1998 | FXST 1984-1998 | FX 1971-1984 | FLST 1986-1998 | FL 1955-1984 | FXR 1982-1994 | FLT 1979-1998,This plug tool allows the setting of proper end play by selection of proper spacer. Use when refitting bearings or bearing sets on late models when spacers are not included. Order shims separately for final fitting of Timken style bearing assemblies.,1 - EA,,Eastern,USA,1292,,"Suggested to use with #12-0714, Sprocket Shaft Bearing Shim .003 Suggested to use with #12-0712, Sprocket Shaft Bearing Shim .003 Suggested to use with #12-0713, Sprocket Shaft Bearing Shim .003",,product_page,
10-0160,Connecting Rod Roller Bearing Set Standard,https://www2.vtwinmfg.com/connecting-rod-roller-bearing-set-standard-2.html,$22.57,,K 1952-1956 | XL 1957-1986 Early 1986,Set is standard size and contains 17 long and 34 short rollers for use with alloy cages.,1 - KIT,,Motorshop,USA,857,,,,product_page,
10-0163,Connecting Rod Roller Bearing Set .0006,https://www2.vtwinmfg.com/connecting-rod-roller-bearing-set-0006-2.html,$25.38,,K 1952-1956 | XL 1957-1986 Early 1986,Bearing set .0006 oversize and contains 17 long and 34 short rollers for use with alloy cages.,1 - KIT,,Motorshop,USA,857,,,,product_page,
10-0174,Connecting Rod Assembly,https://www2.vtwinmfg.com/connecting-rod-assembly-2.html,$293.70,24281-74A,FX 1974-1981 | FL 1974-1981,"Includes new rods, crank pin, nuts, alloy cages and standard rollers fitted and assembled. Piston pin bushings are installed and honed for stock wirst pin.",1 - SET,,Motorshop,Imported,498,,,"{""Measurements"": ""Rod Length: 7.437\""""}",product_page,
