normalized_part_number,bucket,member_count,distinct_real_canonical_ids,canonical_ids,skus
281139,multiple_real,2,2,126543|97702,WPS-22-81139|13020091
302911,multiple_real,2,2,176423|138985,VT-42-0186|WPS-820-51926
64217,multiple_real,2,2,138016|163603,WPS-57-064217|VT-51-0059
95840,multiple_real,2,2,138017|167185,WPS-57-068569|VT-14-5840
281095,multiple_real,2,2,126551|93345,WPS-22-81095|13020084
H070574,multiple_real,2,2,119593|171390,06100126|VT-26-0780
78574,multiple_real,2,2,168383|158559,VT-15-8574|VT-38-0020
CM420,multiple_real,2,2,104461|162204,WPS-27-M420|VT-48-1707
110041,multiple_real,3,2,123227|174816,WPS-57-10041|06580004|VT-36-0992
CM4213,multiple_real,2,2,104473|162206,WPS-27-M421|VT-48-1740
JGI3495589X,multiple_real,2,2,168059|94205,VT-15-1154|DS174960
75312,multiple_real,2,2,176427|123312,VT-42-0202|08220097
CM253,multiple_real,2,2,99338|162236,WPS-27-M253|VT-48-1800
CM418,multiple_real,2,2,115092|162203,WPS-27-M418|VT-48-1706
CM4232,multiple_real,2,2,99169|162210,WPS-27-M423|VT-48-1759
CM4304,multiple_real,2,2,99139|162208,WPS-27-M430|VT-48-1754
3895VM,multiple_real,2,2,143778|122742,VT-11-9926|09120288
VT2719,multiple_real,2,2,143781|106186,VT-11-9938|09030791
120425,multiple_real,2,2,134490|155854,WPS-820-50574|VT-34-0767
22005,multiple_real,2,2,134003|163686,WPS-57-1111|VT-51-0371
NHD3243599,multiple_real,3,2,94591|173310,21200818|WPS-850-08771|VT-32-2226
19137,multiple_real,2,2,141275|170173,WPS-865-01206|VT-23-0429
C9889,multiple_real,3,2,109460|128494,09340744|WPS-68-9889|VT-15-1304
NWR610020,multiple_real,2,2,122775|138798,21201322|WPS-850-09218
216321,multiple_real,2,2,115373|142306,09250112|VT-10-8138
20159,multiple_real,2,2,149502|145867,VT-25-0991|VT-17-2019
791102,multiple_real,2,2,126960|112748,WPS-279-1102|21100320
H070574BB,multiple_real,2,2,130102|119398,WPS-820-1516B|06140708
202320C,multiple_real,2,2,121026|142771,09260698|VT-11-1034
HDEG116,multiple_real,2,2,178479|163878,VT-51-1222|VT-51-1223
900,multiple_real,2,2,136278|145416,WPS-571-6119|VT-16-2131
72651,multiple_real,2,2,158598|150118,VT-38-0122|VT-27-0094
19134,multiple_real,2,2,148266|141199,VT-23-2316|WPS-865-01203
T030151,multiple_real,2,2,98517|159791,07110214|VT-40-0831
78633,multiple_real,2,2,144279|173242,VT-14-8633|VT-32-1754
102100TIN,multiple_real,2,2,137319|123806,WPS-812-02114|06401667
10105,multiple_real,2,2,139054|129393,WPS-576-04288|WPS-78-9829
206589SABLED,multiple_real,2,2,133120|155396,WPS-820-0376A|VT-33-3044
76110,multiple_real,2,2,127888|158658,WPS-57-6226|VT-38-0326
206220,multiple_real,2,2,169104|92527,VT-17-8230|DS199415
NDP422,multiple_real,2,2,135425|145040,WPS-850-08402|VT-16-0478
200370,multiple_real,2,2,146652|172389,VT-19-3001|VT-31-0206
170571DB,multiple_real,2,2,107592|172002,06300268|VT-28-0451
20180,multiple_real,2,2,130087|149411,WPS-820-1326C|VT-25-0729
120023,multiple_real,2,2,125884|95568,WPS-12-0023|04030184
CHD412,multiple_real,2,2,127436|123977,WPS-490-2128|RCHD412
1030,multiple_real,2,2,136271|125966,WPS-571-6113|WPS-132-7018
1008EX,multiple_real,2,2,125988|153725,WPS-132-7078|VT-32-3056
191202,multiple_real,2,2,131486|146338,WPS-820-52651|VT-19-0028
2400739,multiple_real,2,2,92420|179364,DS194143|VT-10-8323
A33212SET,multiple_real,2,2,169238|119938,VT-17-9855|11060035
NTBW4202,multiple_real,3,2,112970|153846,21200651|WPS-850-08758|VT-32-6687
H070790MB3,multiple_real,2,2,104396|171484,06150272|VT-26-2228
20050,multiple_real,3,2,127675|172094,WPS-562-20230C|VT-51-0327|VT-28-2004
14206,multiple_real,2,2,137345|130235,WPS-05-1084|WPS-820-50555
3021,multiple_real,2,2,131786|153717,WPS-132-7044|VT-32-3048
1009EX,multiple_real,2,2,125989|153727,WPS-132-7079|VT-32-3058
DS62,multiple_real,3,2,103582|153975,WPS-133-3002|VT-32-7777|DS62
4124018C,multiple_real,2,2,123873|164648,DS222009|VT-54-2009
202010,multiple_real,3,3,105367|120977|143573,09260789|DS202011|VT-11-6072
202110,multiple_real,3,3,105368|114884|144138,09260800|DS373964|VT-13-2110
2024400,multiple_real,2,2,105386|139956,09263458|WPS-191-27027S
2020265,multiple_real,2,2,105387|166244,09262868|VT-11-6128
2020915,multiple_real,2,2,105388|139940,09262946|WPS-191-17034
87758,multiple_real,2,2,111195|136606,17020605|WPS-820-32023
BA064902,multiple_real,2,2,105447|138974,22100663|WPS-28-61046
312321,multiple_real,2,2,113529|175643,24010885|VT-37-8951
V30ITWBS,multiple_real,2,2,140228|140227,WPS-206-40123|WPS-206-40122
2400130,multiple_real,2,2,94068|179359,DS194080|VT-10-8314
3200353,multiple_real,2,2,142228|102553,VT-10-3510|09220111
C9173,multiple_real,3,2,117661|128367,WPS-68-9173|VT-15-1326|09341221
106004,multiple_real,2,2,118462|173050,21020418|VT-32-0778
214045,multiple_real,2,2,142238|102989,VT-10-4045|09250591
20701,multiple_real,2,2,92902|133501,24011120|WPS-830-0319
76312BCS,multiple_real,2,2,134313|156830,WPS-274-0714|VT-35-0591
6211CH,multiple_real,2,2,101998|157396,DS390211|VT-35-9178
MCVOS2,multiple_real,2,2,98134|173594,WPS-275-01151|VT-32-9079
202066,multiple_real,2,2,120510|142742,07110096|VT-11-0994
CM251,multiple_real,2,2,162244|99318,VT-48-1810|WPS-27-M251
201409,multiple_real,2,2,103793|136912,12102665|WPS-820-51154
2022050,multiple_real,2,2,99705|143152,09263308|VT-11-2023
6051865DLK,multiple_real,2,2,128618|99376,WPS-681-4781|09342119
794002,multiple_real,2,2,118710|136344,21100993|WPS-279-2202
6000,multiple_real,2,2,137117|103333,WPS-85-06000|18010359
C9688,multiple_real,3,2,97150|128457,WPS-68-9688|VT-15-0475|DS172086
105120G,multiple_real,2,2,94617|135876,04040541|WPS-812-52308
2020550,multiple_real,2,2,105353|143579,09262870|VT-11-6125
70261,multiple_real,2,2,112719|153749,21070301|VT-32-3090
030318AA,multiple_real,3,3,119625|130155|159002,07030228|WPS-820-2305|VT-38-1736
370293,multiple_real,2,2,119233|135360,08200152|WPS-820-2268
C9886,multiple_real,3,2,103470|128491,WPS-68-9886|09340742|VT-15-1302
53128,multiple_real,3,2,107835|172922,WPS-194-53128|06360450|VT-32-0432
NWR10910020,multiple_real,2,2,138790|113085,WPS-850-09208|21201312
120400,multiple_real,2,2,118431|154413,20100561|VT-33-0325
10109,multiple_real,2,2,139058|135295,WPS-576-04291|WPS-820-51915
20093,multiple_real,3,3,158348|171949|149705,VT-37-8635|VT-28-0200|VT-25-2280
053326,multiple_real,2,2,119429|133722,06100211|WPS-820-54351
202133C,multiple_real,3,3,126401|99657|142850,WPS-191-57032C|09260728|VT-11-1191
1705599MLS,multiple_real,3,3,128520|91217|144528,WPS-681-4006|09341601|VT-15-1347
206589SRLED,multiple_real,2,2,118846|129919,78052070|WPS-820-0370R
210716,multiple_real,2,2,115740|132136,19133007|WPS-830-1136
JGI1739307,multiple_real,3,3,99383|167463|168166,09350371|VT-14-0955|VT-15-1448
11246,multiple_real,2,2,128555|163969,WPS-681-4332|VT-52-0026
846H.CT,multiple_real,2,2,94640|148219,17220761|VT-23-1782
H070605MB,multiple_real,2,2,107478|149784,06101956|VT-26-0008
161200,multiple_real,2,2,125452|174305,DS289231|VT-35-0101
1677496XT1,multiple_real,3,3,99361|140870|144552,09341583|WPS-681-5334|VT-15-1373
