normalized_part_number,bucket,member_count,distinct_real_canonical_ids,canonical_ids,skus
206589SALED,multiple_real,3,3,129853|98308|154479,WPS-820-0370A|78052069|VT-33-0473
987316,multiple_real,2,2,117049|132154,19133012|WPS-830-1196
4311CH,multiple_real,2,2,124218|157371,DS390233|VT-35-9085
4311CR,multiple_real,2,2,124239|157419,DS390250|VT-35-9311
13608,multiple_real,2,2,148789|170799,VT-24-0663|VT-24-0095
202024,multiple_real,2,2,126417|142712,WPS-191-57045|VT-11-0954
102011,multiple_real,2,2,93385|138445,21020334|WPS-820-60414
22971,multiple_real,2,2,117138|133126,24010439|WPS-830-1204
9971,multiple_real,2,2,152383|172411,VT-31-0831|VT-31-0276
NHD69200193,multiple_real,3,2,173710|98862,VT-32-9712|21200930|WPS-850-08197
160902,multiple_real,2,2,104068|174004,22120105|VT-33-2024
BA072100,multiple_real,2,2,99853|133772,22110185|WPS-28-61005
160901,multiple_real,2,2,93389|174005,22120106|VT-33-2025
710334,multiple_real,2,2,144187|120988,VT-14-0143|09262044
14216,multiple_real,2,2,130245|136301,WPS-820-50565|WPS-85-4173
DD2000HD2EP,multiple_real,3,2,97198|154153,21010044|WPS-133-3010|VT-32-9113
NA1736451,multiple_real,3,2,94535|173357,21200192|WPS-850-08101|VT-32-6500
2396180A3,multiple_real,2,2,105140|179373,DS194005|VT-10-8357
334146,multiple_real,2,2,94621|166937,DS194483|VT-12-9942
JGI11190V2,multiple_real,2,2,114421|144215,DS194487|VT-14-0672
JGI4584977,multiple_real,2,2,114416|167146,DS194496|VT-14-0037
20036,multiple_real,3,3,117331|106719|153620,24010514|04110179|VT-32-2018
BA072110,multiple_real,2,2,99856|138978,22120893|WPS-28-61049
A3507084,multiple_real,2,2,95028|168633,DS196237|VT-17-0062
PS1500,multiple_real,3,3,116387|146550|127056,22145006|VT-19-0601|WPS-290-01001
BA050510,multiple_real,2,2,121188|132578,22120737|WPS-28-61011
6251,multiple_real,3,2,117438|161843,18000635|VT-48-0302|WPS-82-96382
76154,multiple_real,2,2,117463|123332,24010458|08040292
6477,multiple_real,2,2,117470|151902,18002166|VT-30-3034
88187,multiple_real,3,3,166208|92959|132619,VT-11-1194|09310710|WPS-820-51549
6853B,one_real_rest_null,2,1,117475,18002257|WPS-82-96507
40173,multiple_real,3,3,116812|175528|153213,20101455|VT-37-8573|VT-32-1215
1075,multiple_real,3,3,105046|145374|136260,09261166|VT-16-1845|WPS-571-6107
3073020013,multiple_real,2,2,146223|116154,VT-18-3271|11313882
3527X,multiple_real,2,2,143729|113802,VT-11-9764|3527X
JGI3329536X,multiple_real,2,2,167774|94288,VT-15-0595|DS174755
40241,multiple_real,2,2,158180|179018,VT-37-4241|VT-10-0198
67312B,multiple_real,2,2,159676|134326,VT-40-0457|WPS-274-0765
02205,multiple_real,2,2,95721|126741,17010679|WPS-27-10901
6055,multiple_real,2,2,96973|160603,18010719|VT-42-6055
6020,multiple_real,3,3,117511|105134|141843,18010365|09402010|VT-10-0849
62052,multiple_real,2,2,156906|124187,VT-35-0751|07050030
40265,multiple_real,2,2,154042|158188,VT-32-8124|VT-37-4265
1218,multiple_real,3,3,154980|120243|163547,VT-34-0170|09300155|VT-50-2200
M6XL5,multiple_real,2,2,146250|127124,VT-18-3684|WPS-39-1204
94640,multiple_real,2,2,146894|171162,VT-20-4640|VT-24-1926
H070780MB3,multiple_real,2,2,90949|171482,06150270|VT-26-2226
323055,multiple_real,2,2,104347|159516,07100253|VT-40-0022
080529,multiple_real,2,2,178104|128019,VT-50-0807|WPS-57-8529
1215,multiple_real,4,3,94038|131283|156393,09262976|WPS-59-9124|WPS-27-4736|VT-34-2115
D26014132,multiple_real,2,2,91504|169692,12030015|VT-20-0706
261210,multiple_real,2,2,117582|150071,24010426|VT-2612-10TW
21058,multiple_real,2,2,117584|141295,19133005|WPS-830-1134
5462,multiple_real,2,2,155436|120639,VT-33-5462|19010526
76191,multiple_real,3,3,117619|132143|144391,DS193619|WPS-830-1177|VT-15-0623
750820,multiple_real,2,2,117620|131978,DS193766|WPS-830-1109
193002,multiple_real,2,2,146755|134498,VT-20-0371|WPS-820-51225
84411,multiple_real,3,3,117630|141342|170200,DS190892|WPS-820-32000|VT-23-0499
214040,multiple_real,4,4,117641|131588|142237|115323,DS193829|WPS-830-1103|VT-10-4040|09250590
K1746,multiple_real,3,2,131402|125746,VT-11-9954|09030583|WPS-K1746
292017,multiple_real,2,2,115370|142862,09280095|VT-11-1208
C10248,multiple_real,3,2,117726|141423,09351031|VT-15-1475|WPS-68-10248
DC101,multiple_real,2,2,117749|154145,DC101|VT-32-9035
NWR1010020,multiple_real,2,2,138789|101553,WPS-850-09207|21201311
NDP38064,multiple_real,2,2,135428|154238,WPS-850-08405|VT-32-9636
371036,multiple_real,2,2,132274|153396,WPS-820-50844|VT-32-1542
86160,multiple_real,2,2,172567|155449,VT-31-1315|VT-33-6160
D2KI1P,multiple_real,3,2,117830|154163,21010027|WPS-133-3014|VT-32-9159
D2KI2P,multiple_real,3,2,117831|154160,21010028|WPS-133-3015|VT-32-9151
DC68,multiple_real,3,2,117834|173131,21020307|WPS-133-1085|VT-32-1086
8401,multiple_real,3,2,126916|150407,WPS-274-0044|VT-32-0107|VT-27-0930
D2KI5P,multiple_real,3,2,117835|154162,21010031|VT-32-9155|WPS-133-3018
DC31,multiple_real,3,2,117839|154014,DC31|VT-32-8055|WPS-133-1089
DSPT1,multiple_real,3,2,117841|154157,21010071|WPS-133-3007|VT-32-9123
DSK62,multiple_real,3,2,117849|153083,DSK62|WPS-133-3004|VT-32-0800
JGI6053994F,multiple_real,2,2,99405|144525,09344631|VT-15-1337
K2822,multiple_real,2,2,94951|171022,04050326|VT-24-0907
202322C,multiple_real,2,2,120981|142773,09260706|VT-11-1036
148407,multiple_real,2,2,110391|146066,11321828|VT-18-0272
8105,multiple_real,3,3,117880|155475|152044,DS289306|VT-33-8105|VT-30-8105
8102,multiple_real,2,2,117881|171543,DS289303|VT-27-0049
L126024CE,multiple_real,2,2,97735|154313,20300579|VT-33-0086
NCBH02,multiple_real,2,2,153672|101588,VT-32-2216|21201403
3300166,multiple_real,2,2,109252|179349,09250741|VT-10-8167
JGI2699598,multiple_real,2,2,167407|99359,VT-14-0689|09340549
6311BH,multiple_real,2,2,133697|101975,WPS-274-0501|07050092
76312FCS,multiple_real,2,2,134318|156833,WPS-274-0720|VT-35-0595
106200,multiple_real,2,2,123743|134675,04080373|WPS-812-52297
2023000,multiple_real,2,2,99645|143257,09263217|VT-11-2341
6311CHO,multiple_real,2,2,133696|114912,WPS-274-0500|DS390510
140110A,multiple_real,2,2,118234|155550,10110881|VT-34-0079
112195,multiple_real,2,2,109687|157002,10030042|VT-35-0978
120231,multiple_real,2,2,109994|130221,10120162|WPS-820-50514
8070,multiple_real,3,3,120385|120625|138353,09251612|11100043|WPS-56-8070
350027,multiple_real,2,2,118071|176801,11050034|VT-43-0504
71585,multiple_real,2,2,115811|161280,02100423|VT-45-0736
H070601,multiple_real,2,2,149785|119120,VT-26-0009|06100792
52672,multiple_real,3,2,125027|130348,WPS-194-52672|WPS-820-52100|06360651
A3150165,multiple_real,2,2,93668|169058,21100450|VT-17-1503
253103,multiple_real,2,2,110287|126537,11200281|WPS-22-53103
B160917P,multiple_real,2,2,93229|170424,17020346|VT-23-1127
20732,multiple_real,4,4,97017|141283|131177|174357,24010107|WPS-830-1102|WPS-865-01161|VT-35-0381
96784,multiple_real,2,2,134336|169450,WPS-820-54497|VT-18-3129
3023020009,multiple_real,2,2,146256|92832,VT-18-3693|DS223731
28322,multiple_real,2,2,127455|129957,WPS-50-28322|WPS-82-8322
76281,multiple_real,2,2,153814|176797,VT-32-6281|VT-43-0458
420027,multiple_real,2,2,94829|168422,16100632|VT-16-0041
DP4G,multiple_real,3,2,101586|173676,21200055|WPS-850-08022|VT-32-9620
46472,multiple_real,2,2,108504|159761,07100033|VT-40-0668
18536,multiple_real,2,2,109794|154078,10100588|VT-32-8536
201403,multiple_real,2,2,118197|136916,12102667|WPS-820-51158
120230,multiple_real,2,2,118229|130220,10120161|WPS-820-50513
A922128,multiple_real,2,2,118235|179062,09240181|VT-10-0320
79059,multiple_real,2,2,123315|150518,08070011|VT-27-1305
20092,multiple_real,3,3,149510|156678|146764,VT-25-1122|VT-35-0235|VT-20-0492
201400,multiple_real,2,2,118240|136917,12102668|WPS-820-51159
201406,multiple_real,2,2,118242|136914,12102662|WPS-820-51156
7060,multiple_real,3,3,109424|129577|175315,09320023|WPS-811-07060|VT-37-0799
18014,multiple_real,3,3,125985|153714|145531,WPS-132-7060|VT-32-3045|VT-17-0261
260202CK,multiple_real,2,2,118267|160653,11050041|VT-43-0107
NSAIH01,multiple_real,3,2,123553|153673,WPS-850-08655|21201065|VT-32-2223
1221,multiple_real,2,2,158013|151548,VT-37-1079|VT-30-0727
D330110,multiple_real,2,2,118277|176625,11070489|VT-42-1232
NFAXH12,multiple_real,3,2,113057|153856,21201165|VT-32-7026|WPS-850-08992
76276,multiple_real,2,2,98753|167806,08020887|VT-15-0647
500812,multiple_real,2,2,164176|178108,VT-52-0812|VT-50-0813
1001,multiple_real,2,2,104973|145090,09250513|VT-16-0643
52830,multiple_real,3,2,133744|105856,WPS-820-0082|06360322|WPS-194-52830
A6003,multiple_real,2,2,92422|169236,DS194280|VT-17-9853
18753,multiple_real,2,2,115455|154123,10102479|VT-32-8753
KB272.010,multiple_real,2,2,103892|143191,WPS-824-01258|VT-11-2230
BDL1185,multiple_real,2,2,114853|146683,DS360009|VT-20-0117
170418N,multiple_real,2,2,118330|171718,16210160|VT-27-0914
770070,multiple_real,2,2,152840|118649,VT-31-9951|35010159
106A,multiple_real,2,2,127799|160018,WPS-57-0106|VT-41-0132
350131,multiple_real,2,2,175576|158437,VT-37-8787|VT-37-8969
K1662,multiple_real,2,2,125793|143762,K1662|VT-11-9892
JGI2522536CX,multiple_real,2,2,99422|144469,09341184|VT-15-1267
144005,multiple_real,3,3,118371|135370|146102,11321476|WPS-820-52463|VT-18-0534
77324,multiple_real,2,2,165853|149837,VT-15-7324|VT-26-0117
762,multiple_real,3,3,161137|176536|161735,VT-47-2206|VT-42-0700|VT-47-2205
1066068,multiple_real,2,2,143996|94437,VT-12-5240|09250512
P776005,multiple_real,2,2,130122|150304,WPS-820-1963|VT-27-0702
18505,multiple_real,2,2,95071|155597,10100179|VT-34-0178
F510646ME,multiple_real,2,2,118444|177989,20401963|VT-50-0046
F510646CE,multiple_real,2,2,118445|177988,20401964|VT-50-0045
62054,multiple_real,2,2,108414|157427,07050031|VT-35-9353
E210214K,multiple_real,2,2,118450|173132,21060248|VT-32-1088
210209GBK,multiple_real,2,2,118451|153479,21060253|VT-32-1690
T030150,multiple_real,2,2,104351|176314,07110213|VT-40-0830
76387,multiple_real,2,2,118453|101462,20300171|08030230
E210214GBK,multiple_real,2,2,118456|173230,21060250|VT-32-1698
76705F,multiple_real,2,2,118459|160115,21070053|VT-42-0168
110296K,multiple_real,2,2,118264|130180,11070036|WPS-820-2670
70277,multiple_real,2,2,144651|176436,VT-15-7027|VT-42-0300
JGI3523136,multiple_real,2,2,94254|167371,DS174892|VT-14-0638
77971,multiple_real,2,2,144782|173233,VT-15-7971|VT-32-1725
78283,multiple_real,2,2,144810|160445,VT-15-8283|VT-42-1200
V30HTCBB,one_real_rest_null,2,1,123654,06303420|WPS-206-40114
H070574S,multiple_real,2,2,107508|149957,06102302|VT-26-0973
JGI4584377,multiple_real,2,2,94217|167384,DS173420|VT-14-0652
241003,multiple_real,2,2,119095|130099,06020400|WPS-820-1347C
78587,multiple_real,2,2,144875|169098,VT-15-8587|VT-17-8084
4731SK2,multiple_real,2,2,95996|146792,DS360108|VT-20-0623
A3512936,multiple_real,2,2,166593|94999,VT-12-0918|DS188066
H0707892,multiple_real,2,2,150050|111483,VT-26-2218|06101873
202036M,multiple_real,2,2,109338|143228,09262279|VT-11-2313
110050,multiple_real,4,2,108221|157520,06580009|WPS-57-10050|VT-31-0338|VT-36-0610
JGI1703478S,multiple_real,2,2,114179|168074,DS174982|VT-15-1188
E250091BD2,multiple_real,2,2,153565|118766,VT-32-1866|21130665
JGI1677763,multiple_real,2,2,92297|167964,DS174479|VT-15-0989
352102,multiple_real,2,2,118606|175794,24010689|VT-37-9541
216326,multiple_real,2,2,142307|115374,VT-10-8139|09250113
88461,multiple_real,3,3,119680|133304|166209,09310822|WPS-820-51547|VT-11-1195
E250091BT5,multiple_real,2,2,118617|153595,21130668|VT-32-1910
E250091BT2,multiple_real,2,2,118621|153592,21130663|VT-32-1907
148138,multiple_real,2,2,118625|146309,21100205|VT-18-8307
323499,multiple_real,2,2,121116|134116,03650046|WPS-232-3499
AH4620,multiple_real,2,2,154328|155136,VT-33-0141|VT-33-1823
E250091BD9,multiple_real,2,2,118636|173284,21130797|VT-32-1978
120002,multiple_real,2,2,125876|95655,WPS-12-0002|04030165
770044CKNU,multiple_real,2,2,118650|172499,35010258|VT-31-0818
6482010,multiple_real,2,2,142452|132817,VT-11-0177|WPS-865-02032
6482020,multiple_real,2,2,142453|132818,VT-11-0178|WPS-865-02033
H070591N,multiple_real,2,2,92365|171408,06102308|VT-26-0964
6127020,multiple_real,2,2,142462|132809,VT-11-0187|WPS-865-02023
792105,multiple_real,2,2,118705|140377,21100072|WPS-279-2105
792106,multiple_real,2,2,118706|140378,21100073|WPS-279-2106
801004,multiple_real,3,3,118748|153793|140384,21100446|VT-32-5118|WPS-280-1004
40120,multiple_real,2,2,95235|153832,16100526|VT-32-6672
102031,multiple_real,2,2,118751|172946,21020220|VT-32-0513
120049RW,multiple_real,2,2,129995|112288,WPS-820-0386|20300016
103070B,multiple_real,2,2,99177|136799,06040235|WPS-812-52401
E250091BD1,multiple_real,2,2,118764|153556,21130662|VT-32-1846
110042,multiple_real,3,2,123228|174868,WPS-57-10042|VT-36-2416|06580005
77432,multiple_real,2,2,144605|171057,VT-15-7432|VT-24-1063
NM334820802,multiple_real,3,2,101596|173694,21200328|WPS-850-08328|VT-32-9687
76722,multiple_real,2,2,108637|141813,08010745|VT-10-0786
8636,multiple_real,2,2,138360|160654,WPS-56-8636|VT-43-0145
512HF,multiple_real,2,2,105765|148337,17220738|VT-23-4550
201401,multiple_real,2,2,110433|136918,12102669|WPS-820-51160
500751B,multiple_real,2,2,135880|123752,WPS-812-55001|16202278
BA051211,multiple_real,2,2,121208|132003,22110170|WPS-27-5797BK
23145,multiple_real,2,2,134399|167639,WPS-820-50573|VT-15-0228
352118,multiple_real,2,2,118803|175790,24010697|VT-37-9535
H070593,multiple_real,2,2,119128|149776,06101682|VT-26-0000
MDP3B,multiple_real,3,2,91998|173384,21200310|WPS-850-08047|VT-32-6539
352018,multiple_real,2,2,118807|158530,24010715|VT-37-9533
781212,multiple_real,2,2,132145|114187,WPS-830-1181|DS189812
500761,multiple_real,2,2,135883|99093,WPS-812-55004|16202281
MCCBR4,multiple_real,2,2,92053|172925,WPS-275-01013|VT-32-0436
46468,multiple_real,3,3,118847|134434|170232,78053040|WPS-820-32020|VT-23-0582
JGI12026B,multiple_real,2,2,167344|92446,VT-14-0608|DS194455
NNSEP01,multiple_real,3,2,157927|123431,VT-37-1075|11050236|WPS-850-08980
77460,multiple_real,2,2,104634|144452,21070329|VT-15-7460
C8042T,multiple_real,2,2,130876|120436,WPS-830-1061|24010295
B160728MB,multiple_real,2,2,93194|170602,17010755|VT-23-2357
781114,multiple_real,2,2,132144|114397,WPS-830-1180|DS193811
JGI12066,multiple_real,2,2,167395|94230,VT-14-0665|DS194084
D110307,multiple_real,2,2,104349|176339,07100284|VT-40-1103
78647,multiple_real,2,2,153555|168395,VT-32-1845|VT-15-8647
78270,multiple_real,2,2,144801|175943,VT-15-8270|VT-38-0987
NM334720801,multiple_real,3,2,94573|173687,21200319|WPS-850-08312|VT-32-9678
27361,multiple_real,2,2,97003|141299,04040307|WPS-830-1164
440520,multiple_real,2,2,166740|93859,VT-12-1313|11060232
78260,multiple_real,3,3,144793|144792|176557,VT-15-8260|VT-15-8259|VT-42-0787
61126,multiple_real,2,2,164577|166694,VT-54-0105|VT-12-1188
304,multiple_real,2,2,118105|176737,17420046|VT-43-0198
78291,multiple_real,2,2,160438|144818,VT-42-1192|VT-15-8291
A8905,multiple_real,2,2,119200|166409,09240586|VT-12-0398
323057,multiple_real,2,2,119202|159518,07100255|VT-40-0024
H070574SMB,multiple_real,2,2,107513|149958,06102303|VT-26-0974
84889,multiple_real,2,2,119237|148881,04140527|VT-24-1243
W160333,multiple_real,2,2,119253|174990,02140450|VT-37-0041
20358,multiple_real,2,2,95654|161275,04150051|VT-45-0714
2620491A,multiple_real,2,2,119256|166928,09320189|VT-12-9929
H0707804,multiple_real,2,2,119334|171481,06150273|VT-26-2224
NWR110020,multiple_real,2,2,122381|138791,21201313|WPS-850-09209
26388,multiple_real,2,2,92740|141287,24010913|WPS-830-1106
L216094,multiple_real,2,2,112068|154797,20010278|VT-33-1245
A25313SET,multiple_real,2,2,93951|166807,09500364|VT-12-1509
R122RS,multiple_real,2,2,119457|166372,11320198|VT-12-0341
120201,multiple_real,2,2,104365|173866,09066316|VT-33-0615
594,multiple_real,2,2,119664|165462,07060005|VT-8206-9
87972,multiple_real,3,3,119197|132608|148919,04140528|WPS-820-52289|VT-24-1378
71541,multiple_real,2,2,115809|172192,02100356|VT-30-0208
DR3B,multiple_real,3,2,91982|173662,21200042|WPS-850-08007|VT-32-9607
030320ABA,multiple_real,3,3,104556|130156|159005,07030815|WPS-820-2307|VT-38-1739
A6767B,multiple_real,2,2,119947|143870,09270008|VT-12-0715
9015,multiple_real,3,3,169508|129593|111924,VT-23-9115|WPS-811-09015|18610403
70257,multiple_real,2,2,153761|172792,VT-32-3103|VT-32-0121
110066,multiple_real,2,2,119955|127828,17416839|WPS-57-10066
1703286MLS,multiple_real,2,2,91187|140851,09341587|WPS-681-5220
110067,multiple_real,3,3,119957|127829|174905,17416845|WPS-57-10067|VT-36-2570
P9658,multiple_real,2,2,119996|130884,24010307|WPS-830-1068
0610,multiple_real,2,2,128245|124535,WPS-60-1305|08220614
P8815,multiple_real,2,2,120201|130857,DS175021|WPS-830-1032
1235,multiple_real,2,2,120224|171710,09270043|VT-27-0900
JGI12074,multiple_real,2,2,94094|167409,09350123|VT-14-0696
3026,multiple_real,2,2,120225|129560,24010203|WPS-811-03026
354,multiple_real,2,2,118674|149671,17420109|VT-25-2201
JGI3495575X,multiple_real,2,2,92324|168058,DS174961|VT-15-1153
2070,multiple_real,2,2,120231|129552,09250436|WPS-811-02070
1002,multiple_real,2,2,120232|162657,09250514|VT-49-0945
4000,multiple_real,2,2,120240|129563,09290005|WPS-811-04000
H070601MB,multiple_real,2,2,98425|149786,06100793|VT-26-0010
ST80082,multiple_real,2,2,154733|154702,VT-33-1096|VT-33-1036
4061,multiple_real,2,2,120241|129569,09290018|WPS-811-04061
5607,multiple_real,2,2,120255|150156,10103342|VT-27-0230
3075,multiple_real,2,2,120259|137116,07100272|WPS-85-03075
3048,multiple_real,2,2,120277|129562,24010816|WPS-811-03048
7088,multiple_real,2,2,104966|168662,09251061|VT-17-0097
5523,multiple_real,2,2,120304|96844,10103149|17411033
600,multiple_real,4,4,108532|114788|136268|103301,07110063|DS305504|WPS-571-6110|21200547
JGI1705499,multiple_real,2,2,144531|91824,VT-15-1350|20112101
76716,multiple_real,2,2,123295|149856,08010769|VT-26-0415
2020412,multiple_real,2,2,121113|126463,24010578|WPS-191-57096
1008,multiple_real,2,2,120321|125962,09250429|WPS-132-7015
3033,multiple_real,2,2,120333|172704,24010874|VT-31-4186
352100,multiple_real,2,2,104071|175795,24010688|VT-37-9545
PCC1311,multiple_real,2,2,92513|169756,12040112|VT-20-4022
NU3426,multiple_real,2,2,155920|114757,VT-34-0984|DS289514
1000,multiple_real,2,2,120364|170181,09250670|VT-23-0437
1217,multiple_real,2,2,120373|156461,09300237|VT-34-2706
JGI3680187X,multiple_real,2,2,99493|168099,DS174539|VT-15-1230
5421,multiple_real,2,2,120400|100942,10103135|06510416
352015,multiple_real,2,2,118611|158529,24010712|VT-37-9532
20049,multiple_real,2,2,172881|131947,VT-32-0354|WPS-85-1036
53129,multiple_real,3,2,125051|152344,06360267|WPS-194-53129|VT-31-0737
P101407,multiple_real,2,2,120441|130858,24010277|WPS-830-1038
3042,multiple_real,2,2,105001|129561,24010813|WPS-811-03042
A4356035A,multiple_real,2,2,106529|143871,02130387|VT-12-0720
GBDU003,one_real_rest_null,2,1,120461,17104923|WPS-17-DU003
MDP6B,multiple_real,3,2,173385|94611,VT-32-6540|WPS-850-08049|21200397
NA1740562,multiple_real,3,2,173386|94612,VT-32-6541|WPS-850-08119|21200401
78636,multiple_real,2,2,150929|144895,VT-28-0667|VT-15-8636
3303176L,multiple_real,2,2,120614|169085,DS174297|VT-17-6010
24761,multiple_real,2,2,120615|141767,DS194273|VT-10-0631
700000,multiple_real,2,2,135895|94959,WPS-70-7000|11070647
8960,multiple_real,2,2,120617|164933,11200242|VT-7134-8
1370,multiple_real,2,2,120618|120293,DS199555|09250748
1020,multiple_real,4,4,120619|137111|145756|98994,DS325780|WPS-85-01020|VT-17-1020|09250673
1747,multiple_real,2,2,120620|153868,02140838|VT-32-7126
8600,multiple_real,2,2,120621|145879,11030064|VT-17-2147
8611,multiple_real,2,2,120622|145881,11030066|VT-17-2149
8612,multiple_real,2,2,120623|145882,11030067|VT-17-2150
P104808,multiple_real,2,2,113547|133307,24011001|WPS-830-1090
2401780,multiple_real,2,2,120629|166517,DS198836|VT-12-0610
77445,multiple_real,2,2,170004|144313,VT-22-1679|VT-15-7445
7003,multiple_real,2,2,170002|142418,VT-22-0965|VT-11-0109
24621,multiple_real,2,2,120631|141769,DS194369|VT-10-0634
24561,multiple_real,2,2,120632|141774,DS194107|VT-10-0645
E210218,multiple_real,2,2,97989|172931,21060548|VT-32-0451
5401,multiple_real,3,3,120638|120403|155435,19010419|10102831|VT-33-5401
24741,multiple_real,2,2,120640|141766,DS194272|VT-10-0630
3303180,multiple_real,2,2,120642|145926,DS174298|VT-17-6020
71188,multiple_real,2,2,159853|172172,VT-40-1188|VT-30-0112
62141,multiple_real,2,2,144224|124206,VT-14-0701|13040340
O390303Z,multiple_real,2,2,92110|175407,24011601|VT-37-1087
5810,multiple_real,2,2,138010|145242,WPS-57-05810|VT-16-1184
8020,multiple_real,2,2,138347|99071,WPS-56-8020|24010127
73101,multiple_real,2,2,161377|116819,VT-46-0124|21020484
3067,multiple_real,2,2,99008|151831,24011102|VT-30-1915
H070595NMB,multiple_real,2,2,119161|171413,06102318|VT-26-0969
40039,multiple_real,2,2,96355|139947,20402028|WPS-820-27502
JGI6054706K,multiple_real,2,2,120791|144466,09341201|VT-15-1264
JGI1704292X,multiple_real,2,2,120802|144520,09341726|VT-15-1359
NA14803500,multiple_real,3,2,98890|173529,21200417|WPS-850-08152|VT-32-8032
JGI1677084A,multiple_real,2,2,120827|167731,DS174924|VT-15-0414
JGI1704798,multiple_real,2,2,120829|144463,DS173219|VT-15-1235
JGI2522570K,multiple_real,2,2,120831|167899,DS173319|VT-15-0871
O390302Z,multiple_real,2,2,103999|175406,24011600|VT-37-1086
JGI92FLHR,multiple_real,2,2,120833|144461,DS173382|VT-15-1226
JGI3490194K,multiple_real,2,2,120841|167903,DS174952|VT-15-0875
105125G,multiple_real,2,2,136394|123799,WPS-812-52313|04040566
120025,multiple_real,3,2,154452|123248,VT-33-0407|WPS-12-0250|24010390
JGI1677766SX,multiple_real,2,2,120844|168042,DS174980|VT-15-1122
JGI1703890,multiple_real,2,2,120846|167889,DS173315|VT-15-0847
JGI54XL,multiple_real,2,2,120848|144425,DS173407|VT-15-0849
JGI81FL,multiple_real,2,2,120849|144431,DS173374|VT-15-0854
JGI1795548FL,multiple_real,2,2,120852|167396,DS194493|VT-14-0667
NCBH01C,multiple_real,3,2,153600|123464,VT-32-1917|21200973|WPS-850-08654
JGI1735884A,multiple_real,2,2,120854|167975,DS174413|VT-15-1002
JGI1704192A,multiple_real,2,2,120855|167870,DS174532|VT-15-0808
JGISE1,multiple_real,2,2,120856|144447,DS174743|VT-15-1075
JGI4584975,multiple_real,2,2,120857|167188,DS174785|VT-14-0041
JGI4584971,multiple_real,2,2,120858|167187,DS174787|VT-14-0039
JGI12050K,multiple_real,2,2,120861|144454,DS174907|VT-15-1166
JGI3523039K,multiple_real,2,2,120862|168065,DS174909|VT-15-1164
JGI11133V2,multiple_real,2,2,120865|167399,DS194458|VT-14-0671
JGI6111177,multiple_real,2,2,99491|168017,DS174516|VT-15-1066
28021M,multiple_real,2,2,142438|143083,VT-11-0163|VT-11-1735
500748B,multiple_real,2,2,137328|101714,WPS-812-02134|16030389
204171R,multiple_real,2,2,120978|143568,09260126|VT-11-6018
202121,multiple_real,2,2,120980|126429,09260319|WPS-191-57052
323056,multiple_real,2,2,159517|98507,VT-40-0023|07100254
202036C,multiple_real,2,2,120983|142732,09261983|VT-11-0979
346,multiple_real,2,2,149661|118567,VT-25-3460|17420369
202021M,multiple_real,2,2,120989|143217,09262267|VT-11-2301
202029M,multiple_real,2,2,120990|143223,09262273|VT-11-2307
202064M,multiple_real,2,2,120991|143250,09262290|VT-11-2334
2022100,multiple_real,2,2,120995|143253,09263309|VT-11-2337
2022550,multiple_real,2,2,120996|143155,09263316|VT-11-2026
2020810,multiple_real,2,2,120999|126452,09230367|WPS-191-57083
204322,multiple_real,2,2,121002|126405,09260761|WPS-191-57039
2020132,multiple_real,3,3,121004|126358|144134,09260802|WPS-191-27003S|VT-13-2085
202210,multiple_real,2,2,121008|144144,09260799|VT-13-2210
204321,multiple_real,3,3,121020|126365|142762,DS199765|WPS-191-57004|VT-11-1020
10SC541,multiple_real,2,2,121024|126462,09260324|WPS-191-57095
NTBW32700050A,multiple_real,3,2,123494|174776,WPS-850-08212|VT-36-0794|21300349
202332C,multiple_real,2,2,121027|142776,09260707|VT-11-1041
202034,multiple_real,2,2,121029|126386,09261981|WPS-191-57021
202038,multiple_real,2,2,121030|142718,09261984|VT-11-0964
202056C,multiple_real,3,3,121031|126424|142748,09261991|WPS-191-57049C|VT-11-1001
202068C,multiple_real,2,2,121032|142756,09262004|VT-11-1009
202039M,multiple_real,2,2,121037|143230,09262281|VT-11-2315
202054M,multiple_real,2,2,121038|143245,09262285|VT-11-2329
202062C,multiple_real,3,3,121044|126389|142752,09260758|WPS-191-57023C|VT-11-1005
510054,multiple_real,2,2,121045|143150,09260774|VT-11-2021
2022150,multiple_real,2,2,121061|143153,09263310|VT-11-2024
200645,multiple_real,2,2,121069|141803,09230468|VT-10-0765
202132,multiple_real,2,2,121070|126398,09260722|WPS-191-57031
202133,multiple_real,2,2,121071|126400,09260726|WPS-191-57032
202061C,multiple_real,3,3,121075|126376|142751,09260756|WPS-191-57014C|VT-11-1004
202028C,multiple_real,2,2,121080|142726,09261978|VT-11-0972
204194,multiple_real,3,3,143555|105377|140271,VT-11-6001|DS198971|WPS-191-17003
202029C,multiple_real,2,2,121081|142727,09261980|VT-11-0973
202022M,multiple_real,2,2,121085|143218,09262268|VT-11-2302
202033M,multiple_real,2,2,121086|143226,09262277|VT-11-2311
202038M,multiple_real,2,2,121087|143229,09262280|VT-11-2314
710114,multiple_real,2,2,121100|131489,09263205|WPS-191-37021
2022400,multiple_real,2,2,121103|143254,09263313|VT-11-2338
160042,multiple_real,4,4,150865|141149|171991|92111,VT-28-0418|WPS-820-2691|VT-28-0416|07100084
76981,multiple_real,2,2,98480|160906,08010843|VT-44-0404
204169,multiple_real,2,2,121114|143565,DS198973|VT-11-6014
MDR3B,multiple_real,3,2,94572|173382,21200311|WPS-850-08041|VT-32-6537
