normalized_part_number,vendor_combo,member_count,skus
41216,VTWIN,2,VT-33-0656|VT-32-0053
71140,VTWIN,2,VT-13-9174|VT-40-7114
78480,VTWIN,2,VT-33-1558|VT-15-8480
ABIG7B2B,VTWIN+WPS,2,VT-33-1574|WPS-227-0031
161273,PU+VTWIN,2,VT-33-1605|20100744
78416,VTWIN,2,VT-33-1632|VT-15-8416
78413,VTWIN,2,VT-33-1634|VT-15-8413
78533,VTWIN,2,VT-33-1649|VT-15-8533
78534,VTWIN,2,VT-33-1650|VT-15-8534
77415,VTWIN,2,VT-15-7415|VT-28-0761
70117,VTWIN,2,VT-33-2271|VT-33-1961
170023A,PU+VTWIN,2,VT-18-3236|11312180
202033,VTWIN+WPS,2,VT-11-0961|WPS-191-57020
96829,VTWIN,2,VT-25-0470|VT-37-6829
NHCXDB12,PU+VTWIN,2,VT-32-6662|21200227
78119,VTWIN,2,VT-10-8213|VT-10-8168
C770071,PU+WPS,2,WPS-820-2618|15100092
826H.HS,PU+VTWIN,2,VT-23-4561|17211772
77710,VTWIN,2,VT-34-1081|VT-15-7710
351,PU+VTWIN,3,VT-25-2204|VT-32-3510|17420106
352,PU+VTWIN,2,VT-25-2205|17420107
47123,PU+VTWIN,2,VT-26-0786|17411676
62336,VTWIN,2,VT-26-0886|VT-26-0377
77399,VTWIN,2,VT-34-1333|VT-15-7399
70053A,VTWIN,2,VT-27-0950|VT-27-0917
9953,PU+VTWIN,2,VT-30-1281|10220124
9952,PU+VTWIN,2,VT-30-1282|10220123
0861478/54,PU+VTWIN,2,VT-30-1417|18610914
78474,VTWIN,2,VT-35-0253|VT-15-8474
8115,VTWIN,2,VT-30-8115|VT-33-8115
77424,VTWIN,2,VT-35-0447|VT-15-7424
22732,WPS,2,WPS-59-9179|WPS-865-01041
JGI1736207,PU+VTWIN,2,VT-15-1447|09342098
VT2712,PU+VTWIN+WPS,3,WPS-VT2712|VT-11-9921|09030790
030091,VTWIN+WPS,2,WPS-820-2655|VT-40-0361
71139,VTWIN,2,VT-40-7113|VT-24-0120
78470,VTWIN,2,VT-15-8470|VT-38-0881
63400,VTWIN,2,VT-46-0255|VT-49-0805
471066,PU+VTWIN,2,VT-35-4766|10090221
471072,PU+VTWIN+WPS,3,VT-35-4772|WPS-24-71072|10090218
6311AH,PU+VTWIN,2,VT-35-9089|07050552
68168,VTWIN+WPS,2,VT-48-0263|WPS-820-51309
000815,VTWIN+WPS,2,VT-48-0490|WPS-57-98021
86163,VTWIN,2,VT-48-1101|VT-33-6163
03010710,VTWIN+WPS,2,VT-37-7966|WPS-820-1178C
352066,PU+VTWIN,2,VT-37-9547|24040985
C9692,PU+VTWIN,2,VT-15-0479|09341355
70231,VTWIN,2,VT-38-0100|VT-32-0097
74489,VTWIN,2,VT-50-0929|VT-54-0153
78353,VTWIN,2,VT-38-0506|VT-15-8353
10518,VTWIN+WPS,2,WPS-38-1019|VT-50-2000
78575,VTWIN,2,VT-38-0620|VT-15-8575
78401,VTWIN,2,VT-38-0651|VT-15-8401
77402,VTWIN,2,VT-38-0943|VT-15-7402
78396,VTWIN,2,VT-38-0967|VT-15-8396
90105,PU+VTWIN,2,VT-39-0067|24010501
9724,VTWIN,2,VT-16-9726|VT-16-9724
208800,PU+VTWIN,2,VT-17-8503|11060057
40354,PU+VTWIN,2,VT-73-354|20101498
41582,PU+VTWIN,2,VT-7412-24|11321013
1013030005,PU+VTWIN,2,DS223872|VT-36-2490
T216924WB,PU+VTWIN,2,VT-39-0496|22100545
71485,VTWIN,2,VT-39-0985|VT-39-0932
2021255,PU+WPS,2,WPS-191-27051|09500888
2021260,PU+WPS,2,WPS-191-27052|09500889
87623,PU+WPS,2,WPS-820-51404|09251162
63867,VTWIN,2,VT-40-0036|VT-40-0034
50225,VTWIN,2,VT-40-0106|VT-25-2021
50167Z,VTWIN,2,VT-40-0164|VT-40-1291
140002,PU+VTWIN,2,VT-40-0172|07120379
78101,VTWIN,2,VT-40-0241|VT-40-0243
