normalized_part_number,catalog_unified_id,sku,name,brand_part_number,source_vendor,canonical_product_id,canonical_sku
81243,57127,WPS-820-53033,STEERING DAMPER KIT BLACK 20-25 FXLRST,81243,WPS,(none),(none)
81243,66247,VT-24-1429,Black Fork Steering Damper Kit,81243,VTWIN,148937,CP-148938
7000,14905,09320018,Hi Volume Oil Pump - Twin Cam,7000,PU,105054,CP-105055
7000,41006,WPS-811-07000,HP+ OIL PUMP,7000,WPS,105054,CP-105055
7000,87779,VT-23-1727,Brake Caliper Pin Kit,7000,VTWIN,129574,CP-129575
6986,57233,WPS-82-96084,BAD HOMBRE TRUE DUALS CHROME SOFTAIL 12-17,6986,WPS,(none),(none)
6986,27945,18001750,True Dual Exhaust - Billet Tip - '12-'17 Softail,6986,PU,117442,CP-117443
6208RB,57246,WPS-82-96418,"EL DIABLO 4"" SLIP-ON BLACK FLH/FLT 17-24",6208RB,WPS,(none),(none)
6208RB,27984,18011219,"El Diablo Slip-On Mufflers - 4"" - FL - Black",6208RB,PU,117480,CP-117481
6957T,57267,WPS-82-96559,SPEEDSTER LONGS II CHROME DYNA 06-11,6957T,WPS,(none),(none)
6957T,6413,18001829,Speedster Long Exhaust - '06-'11 Dyna,6957T,PU,96880,CP-096881
GBDU002,57321,WPS-17-DU002,"ROTOR 11.5"" FLOATING WAVE RR BLACK",GBDU002,WPS,(none),(none)
GBDU002,8775,17104922,Brake Rotor - Rear - Black,GBDU002,PU,99133,CP-099134
GBDU004,57323,WPS-17-DU004,"ROTOR 11.8"" FLOATING WAVE RR BLACK",GBDU004,WPS,(none),(none)
GBDU004,8752,17104924,Brake Rotor - Rear - Black,GBDU004,PU,99111,CP-099112
GBDU009,57325,WPS-17-DU009,"ROTOR 13"" FLOATING WAVE  FR BLACK",GBDU009,WPS,(none),(none)
GBDU009,8754,17104929,"Wave® Brake Rotor - Front - 13"" - Black",GBDU009,PU,99113,CP-099114
7199,8642,09320231,Race Series Oil Pump with Plate - Twin Cooled Motors - '17-'24 M8,7199,PU,99002,CP-099003
7199,56871,WPS-874-1934,TUBE STANDARD 140B160/70-17 TR4  VALVE STEM,7199,WPS,(none),(none)
C9435,57698,WPS-68-9435,CRANKCASEOIL PLUG O-RING OE# 11105 10/PK OE#11105,C9435,WPS,96123,CP-096124
C9435,5622,09350186,Drain Plug O-Ring - M8/Big Twin - 10 Pack,C9435,PU,92207,CP-092208
8846,67804,VT-27-1236,Driver Chrome Shooter Footboard Set,8846,VTWIN,150494,CP-150495
8846,56797,WPS-874-1234,TIRE BATTLECRUISE H50 FRONT 140/75R17 67V RADIAL TL,8846,WPS,(none),(none)
8820,68623,VT-30-0008,Curved Radius 2 inch Drag Pipe Set Black,8820,VTWIN,151313,CP-151314
8820,56803,WPS-874-1240,TIRE BATTLECRUISE H50 REAR 180/60B17 75V BIAS TL,8820,WPS,(none),(none)
6031,13092,18010703,"3"" Slashcut Slip-On Mufflers - XL - Chrome",6031,PU,103335,CP-103336
6031,57225,WPS-82-96014,"3"" SLIP-ONS CHROME SPORTSTER 14-24",6031,WPS,(none),(none)
50803,81910,VT-54-0434,Rear E-Z Adjustable Lowering Kit,50803,VTWIN,164600,CP-164601
50803,57409,WPS-194-50803,INDIAN PHONE CASE W/HEADDRESS IPHONE 17 RED W/LOGO,50803,WPS,(none),(none)
8819,56747,WPS-874-1248,TIRE BATTLECRUISE H50 REAR 180/65B16 81H BIAS TL,8819,WPS,(none),(none)
8819,68624,VT-30-0009,Curved Radius 2 inch Drag Pipe Set Chrome,8819,VTWIN,151314,CP-151315
7198,56869,WPS-874-1933,TUBE STANDARD 140/90-16 TR4 VALVE STEM,7198,WPS,(none),(none)
7198,31046,09320230,Oil Pump with Cam Plate - HP+® - Water Cooled - M8,7198,PU,120338,CP-120339
060458,56457,WPS-70-60458,"TOP HALF CLUTCH CABLE 42"" BLK VINYL  OE#37200383",06-0458,WPS,(none),(none)
060458,18219,06523231,Black Vinyl Clutch Cable - Standard,06-0458,PU,108222,CP-108223
7188,56791,WPS-874-1228,TIRE BATTLECRUISE H50 FRONT 120/70ZR19 60W RADIAL TL,7188,WPS,(none),(none)
7188,14858,09251502,Hydraulic Cam Chain Tensioner Conversion Kit - Conversion Style Camshaft - '01-'06 TC,7188,PU,105007,CP-105008
7197,56875,WPS-874-1937,TUBE STANDARD 80/90-21 TR4  VALVE STEM,7197,WPS,(none),(none)
7197,30932,09251256,Race Series Oil Pump with Plate - Oil Cooled Motors - '17-'24 M8,7197,PU,120226,CP-120227
