norm,product_id_a,product_id_b,sku_a,sku_b,vendor_a,vendor_b
77425,62005,64614,VT-15-7425,VT-21-0932,VTWIN,VTWIN
110420,12369,74100,VT-35-0471,10020025,VTWIN,PU
6141SE1,2202,64096,VT-20-0615,DS360099,VTWIN,PU
1310,44183,72577,WPS-830-5039,VT-33-2155,WPS,VTWIN
78595,62189,65082,VT-15-8595,VT-22-1842,VTWIN,VTWIN
CTX24HLBS,11516,38578,WPS-49-2291,21130205,WPS,PU
191327,28827,63905,VT-19-0767,12102671,VTWIN,PU
191327,48868,63905,VT-19-0767,WPS-820-51151,VTWIN,WPS
191327,28827,48868,12102671,WPS-820-51151,PU,WPS
W5731,36651,61044,VT-11-9773,W5731,VTWIN,PU
CE85T,37934,70547,VT-32-1280,WPS-273-1133,VTWIN,WPS
7080,14901,86753,VT-18-3118,09320091,VTWIN,PU
335175,36285,61127,DS199321,VT-12-0126,PU,VTWIN
352112,7469,93103,VT-37-9539,24010694,VTWIN,PU
JGI1703089X,19558,61852,VT-15-1363,09341852,VTWIN,PU
334275,36286,59559,DS199532,VT-10-4275,PU,VTWIN
BA035K00HD,9510,44929,WPS-28-61003,22100492,WPS,PU
202122M,31760,60543,09262303,VT-11-2318,PU,VTWIN
NTBWJ15,23260,71158,VT-32-6689,21200839,VTWIN,PU
202124M,9383,60545,09262305,VT-11-2320,PU,VTWIN
110401,36296,73915,DS0401,VT-35-0001,PU,VTWIN
110402,36297,73916,DS0402,VT-35-0002,PU,VTWIN
879410,28152,44011,DS190491,WPS-830-1115,PU,WPS
110407,36302,73918,DS0407,VT-35-0004,PU,VTWIN
18440,4269,72912,VT-34-0192,10101461,VTWIN,PU
70266,22991,71050,VT-32-3081,21070308,VTWIN,PU
NMTRT01,48927,62638,WPS-850-08302,VT-16-1619,WPS,VTWIN
78275,62114,94967,VT-49-0829,VT-15-8275,VTWIN,VTWIN
347004,36308,59004,DS194652,VT-10-0260,PU,VTWIN
NDP39000,48941,71550,WPS-850-08411,VT-32-9638,WPS,VTWIN
2021012H,31779,60176,09263305,VT-11-1217,PU,VTWIN
2021012H,31779,45024,09263305,WPS-191-17040,PU,WPS
2021012H,45024,60176,VT-11-1217,WPS-191-17040,VTWIN,WPS
63633,65235,87414,VT-23-0293,VT-23-0290,VTWIN,VTWIN
AX068K10,31914,45623,WPS-27-5833,06310179,WPS,PU
310003,36323,58964,DS194305,VT-10-0003,PU,VTWIN
88263,44991,66228,VT-24-1377,WPS-820-52284,VTWIN,WPS
78710,61945,62222,VT-15-8710,VT-15-1769,VTWIN,VTWIN
C9607F1,6662,61812,09344809,VT-15-1310,PU,VTWIN
71061,12602,77524,VT-42-0421,10102946,VTWIN,PU
27161,41438,52708,WPS-82-7161,WPS-57-027161,WPS,WPS
1065896,19301,61126,VT-12-0125,09250456,VTWIN,PU
20761,42779,74223,VT-35-0761,WPS-865-01061,VTWIN,WPS
18447,65504,71376,VT-23-1672,VT-32-8447,VTWIN,VTWIN
18447,5154,65504,VT-23-1672,10102064,VTWIN,PU
18447,5154,71376,VT-32-8447,10102064,VTWIN,PU
103413,11453,43709,WPS-812-02015,DS221926,WPS,PU
210540,11416,43723,WPS-812-02075,35500135,WPS,PU
909102,17542,43728,WPS-812-02096,20201319,WPS,PU
352065,23976,75841,VT-37-9546,24040984,VTWIN,PU
I010150,451,41489,09342560,WPS-820-0102,PU,WPS
28621,38092,44915,WPS-82-8292,WPS-29-1121,WPS,WPS
A2555436,1666,84086,DS194167,VT-12-1427,PU,VTWIN
2059,14888,75745,09250753,VT-37-8963,PU,VTWIN
42818,58648,87538,VT-23-0552,WPS-820-32008,VTWIN,WPS
A2403470,1749,96422,DS196138,VT-10-0444,PU,VTWIN
SPC025,27632,75155,24040057,VT-37-0467,PU,VTWIN
NU3423,1919,91492,DS289507,VT-34-0911,PU,VTWIN
18741,4944,71423,VT-32-8741,10102472,VTWIN,PU
202124C,37406,60154,VT-11-1186,WPS-191-57055C,VTWIN,WPS
202124C,19360,60154,VT-11-1186,09260732,VTWIN,PU
202124C,19360,37406,WPS-191-57055C,09260732,WPS,PU
JGI3565398,3582,85496,DS173192,VT-15-1500,PU,VTWIN
20103,46071,96438,WPS-830-0305,VT-10-0487,WPS,VTWIN
21403,46091,65429,WPS-830-0332,VT-23-1403,WPS,VTWIN
9026,22136,86993,18610578,VT-23-9126,PU,VTWIN
1827,8891,59381,VT-10-1827,09290046,VTWIN,PU
71104,36573,74660,10103299,VT-35-7114,PU,VTWIN
77482,62010,93283,VT-15-7482,VT-38-6555,VTWIN,VTWIN
70393,36584,91546,10102919,VT-34-1530,PU,VTWIN
3300017,15747,59572,VT-10-5182,09250540,VTWIN,PU
52676,41955,54964,WPS-820-52009,WPS-194-52676,WPS,WPS
52676,35856,41955,WPS-820-52009,06360523,WPS,PU
89450,47428,65375,VT-23-1071,WPS-820-32019,VTWIN,WPS
HDEG115,81187,95788,VT-51-1221,VT-51-1220,VTWIN,VTWIN
K1608,36639,61025,K1608,VT-11-9728,PU,VTWIN
K1624,36640,61032,K1624,VT-11-9739,PU,VTWIN
K1626,36641,61034,K1626,VT-11-9741,PU,VTWIN
K1605,36645,61022,K1605,VT-11-9725,PU,VTWIN
202023C,37387,60033,WPS-191-57044C,VT-11-0969,WPS,VTWIN
202023C,9368,37387,WPS-191-57044C,09260750,WPS,PU
202023C,9368,60033,VT-11-0969,09260750,VTWIN,PU
715,42616,50136,WPS-830-6000,WPS-571-6122,WPS,WPS
K1602,36664,61019,K1602,VT-11-9722,PU,VTWIN
JGI3490486,3590,85316,DS173343,VT-15-1041,PU,VTWIN
16202,36884,71023,WPS-132-7011,VT-32-3044,WPS,VTWIN
2006KIT,36903,70445,WPS-132-7038,VT-32-1015,WPS,VTWIN
2006,36905,68540,WPS-132-7040,VT-29-2006,WPS,VTWIN
3005,36908,40991,WPS-132-7054,WPS-811-03005,WPS,WPS
3005,36908,71006,WPS-132-7054,VT-32-3015,WPS,VTWIN
3005,30877,36908,WPS-132-7054,24010825,WPS,PU
3005,40991,71006,WPS-811-03005,VT-32-3015,WPS,VTWIN
3005,30877,40991,WPS-811-03005,24010825,WPS,PU
3005,30877,71006,VT-32-3015,24010825,VTWIN,PU
1005EX,36913,71032,WPS-132-7077,VT-32-3053,WPS,VTWIN
C320435,41535,84371,WPS-820-0514,VT-13-0545,WPS,VTWIN
C320435,3074,41535,WPS-820-0514,05100184,WPS,PU
C320435,3074,84371,VT-13-0545,05100184,VTWIN,PU
21054,36919,66665,WPS-132-7091,VT-25-0565,WPS,VTWIN
21054,36919,70597,WPS-132-7091,VT-32-1374,WPS,VTWIN
21054,66665,70597,VT-25-0565,VT-32-1374,VTWIN,VTWIN
40098,23263,62717,VT-16-1977,21200902,VTWIN,PU
21062,36920,70598,WPS-132-7092,VT-32-1375,WPS,VTWIN
21062,36920,95104,WPS-132-7092,VT-49-1873,WPS,VTWIN
21062,70598,95104,VT-32-1375,VT-49-1873,VTWIN,VTWIN
33214,10767,78655,06500399,VT-45-3214,PU,VTWIN
DC69,36930,90440,WPS-133-1087,VT-32-1085,WPS,VTWIN
DC69,2102,90440,VT-32-1085,21020283,VTWIN,PU
DS61,36934,71286,WPS-133-3001,VT-32-7778,WPS,VTWIN
DS61,13341,71286,VT-32-7778,DS61,VTWIN,PU
MDP2B,58802,90685,WPS-850-08046,VT-32-6523,WPS,VTWIN
MDP2B,8429,90685,VT-32-6523,21200395,VTWIN,PU
MDP4B,58804,90686,WPS-850-08048,VT-32-6524,WPS,VTWIN
MDP4B,4004,90686,VT-32-6524,21200396,VTWIN,PU
103070R,34555,51019,WPS-812-52402,06040236,WPS,PU
110298P,2607,92293,11070339,VT-37-0005,PU,VTWIN
36505,38060,81651,VT-52-1421,WPS-28-2030X,VTWIN,WPS
4085,8568,31078,09280040,BPR6HIX,PU,PU
NDP38060,48935,71546,WPS-850-08403,VT-32-9634,WPS,VTWIN
NDP38065,48940,71553,WPS-850-08409,VT-32-9641,WPS,VTWIN
FA409,37235,87702,WPS-15-409,VT-23-0998,WPS,VTWIN
FA409,3325,87702,VT-23-0998,17220603,VTWIN,PU
H070585SMB,17483,88727,06102307,VT-26-0976,PU,VTWIN
H070730N,8090,67266,06102325,VT-26-0972,PU,VTWIN
NFMAX40,3987,90712,21300082,VT-32-6566,PU,VTWIN
NFMAX40,58916,90712,WPS-850-08423,VT-32-6566,WPS,VTWIN
E210214GB,22968,90539,21060251,VT-32-1697,PU,VTWIN
IHL02,49186,72600,WPS-850-09006,VT-33-2216,WPS,VTWIN
ILLPROIII,49214,72595,WPS-850-09035,VT-33-2207,WPS,VTWIN
A2462399B,16363,83859,09240122,VT-12-0754,PU,VTWIN
2020326R,9326,37313,WPS-191-17017,09260196,WPS,PU
2020364,9274,37330,WPS-191-27004S,09260184,WPS,PU
204320C,37335,60068,WPS-191-57003C,VT-11-1014,WPS,VTWIN
204320C,31832,37335,WPS-191-57003C,09260718,WPS,PU
204320C,31832,60068,VT-11-1014,09260718,VTWIN,PU
204321C,37337,60069,WPS-191-57004C,VT-11-1015,WPS,VTWIN
204321C,9362,37337,WPS-191-57004C,DS199760,WPS,PU
204321C,9362,60069,VT-11-1015,DS199760,VTWIN,PU
2020700,9281,37342,WPS-191-57011,09262014,WPS,PU
2020701,9332,37344,WPS-191-57012,09262016,WPS,PU
202060C,37346,60060,WPS-191-57013C,VT-11-1003,WPS,VTWIN
202060C,19359,37346,WPS-191-57013C,09260760,WPS,PU
202060C,19359,60060,VT-11-1003,09260760,VTWIN,PU
202066C,37362,60065,WPS-191-57026C,VT-11-1008,WPS,VTWIN
2020702,15236,37363,WPS-191-57027,09262018,WPS,PU
2020702,37363,60096,WPS-191-57027,VT-11-1059,WPS,VTWIN
2020702,15236,60096,09262018,VT-11-1059,PU,VTWIN
2020702C,19385,37364,WPS-191-57027C,09262019,WPS,PU
202130,31827,37365,WPS-191-57029,09260320,WPS,PU
202130,34611,37365,WPS-191-57029,DS375745,WPS,PU
202130,31827,34611,09260320,DS375745,PU,PU
500751,8728,49409,WPS-812-55000,16202277,WPS,PU
202131C,37368,60158,WPS-191-57030C,VT-11-1189,WPS,VTWIN
202131C,19348,37368,WPS-191-57030C,09260720,WPS,PU
202131C,19348,60158,VT-11-1189,09260720,VTWIN,PU
202132C,37370,60159,WPS-191-57031C,VT-11-1190,WPS,VTWIN
202132C,19357,37370,WPS-191-57031C,09260724,WPS,PU
202132C,19357,60159,VT-11-1190,09260724,VTWIN,PU
500751R,21157,49411,WPS-812-55002,16202279,WPS,PU
204322C,31739,37377,WPS-191-57039C,DS199761,WPS,PU
204322C,37377,60070,WPS-191-57039C,VT-11-1016,WPS,VTWIN
204322C,31739,60070,DS199761,VT-11-1016,PU,VTWIN
202052C,37393,60056,WPS-191-57047C,VT-11-0998,WPS,VTWIN
202052C,31796,37393,WPS-191-57047C,09260757,WPS,PU
202052C,31796,60056,VT-11-0998,09260757,VTWIN,PU
060139,31934,58234,18611636,WPS-70-6139,PU,WPS
202123C,37405,60153,WPS-191-57054C,VT-11-1185,WPS,VTWIN
202123C,19355,37405,WPS-191-57054C,09260727,WPS,PU
202123C,19355,60153,VT-11-1185,09260727,VTWIN,PU
700001,26297,49427,WPS-70-7001,11070664,WPS,PU
71033A,93717,93960,VT-42-0102,VT-42-1980,VTWIN,VTWIN
3073010090,24877,63606,VT-18-8248,DS223763,VTWIN,PU
204329,9377,37418,WPS-191-57063,09262030,WPS,PU
764,79042,93719,VT-42-0104,VT-47-2202,VTWIN,VTWIN
8080,14891,53316,WPS-56-8080,09251068,WPS,PU
2020812,31788,37424,WPS-191-57084,09230368,WPS,PU
830704,3747,37426,WPS-191-57087,DS199772,WPS,PU
299110,20257,63275,VT-17-9110,11060064,VTWIN,PU
202106,19424,37429,WPS-191-57088,09270024,WPS,PU
202106,37429,96605,WPS-191-57088,VT-10-2106,WPS,VTWIN
202106,19424,96605,09270024,VT-10-2106,PU,VTWIN
202107,37430,59441,WPS-191-57089,VT-10-2107,WPS,VTWIN
202108,37431,59442,WPS-191-57090,VT-10-2108,WPS,VTWIN
10SC446,9394,37432,WPS-191-57092,09260325,WPS,PU
302910,54466,93731,VT-42-0165,WPS-820-51925,VTWIN,WPS
3521,6269,37451,WPS-2-CR9EIX,DS3521,WPS,PU
3521,6269,11329,DS3521,CR9EIX,PU,PU
JGI2625868D,1567,84876,DS174720,VT-15-0134,PU,VTWIN
11309,31243,78559,11309E,VT-45-0622,PU,VTWIN
11309,41254,78559,WPS-817-01829,VT-45-0622,WPS,VTWIN
H070810MB1,29834,67072,VT-26-2264,06110207,VTWIN,PU
221068,3142,37503,WPS-22-1068,04100294,WPS,PU
253102,28847,37514,WPS-22-53102,11200217,WPS,PU
55119,14217,37517,WPS-22-55119,04070058,WPS,PU
H070574B,41648,88729,VT-26-0982,WPS-820-1515B,VTWIN,WPS
H070574B,17530,88729,VT-26-0982,06130201,VTWIN,PU
H070574B,17530,41648,WPS-820-1515B,06130201,WPS,PU
281139,7276,37521,WPS-22-81139,13020091,WPS,PU
302911,54467,93733,VT-42-0186,WPS-820-51926,VTWIN,WPS
64217,52730,80913,WPS-57-064217,VT-51-0059,WPS,VTWIN
95840,52732,84495,WPS-57-068569,VT-14-5840,WPS,VTWIN
281095,2669,37529,WPS-22-81095,13020084,WPS,PU
H070574,30279,88700,06100126,VT-26-0780,PU,VTWIN
78574,75869,85693,VT-15-8574,VT-38-0020,VTWIN,VTWIN
CM420,37827,79514,WPS-27-M420,VT-48-1707,WPS,VTWIN
110041,39036,92126,WPS-57-10041,VT-36-0992,WPS,VTWIN
110041,34003,92126,06580004,VT-36-0992,PU,VTWIN
CM4213,37839,79516,WPS-27-M421,VT-48-1740,WPS,VTWIN
JGI3495589X,3620,85369,VT-15-1154,DS174960,VTWIN,PU
75312,34092,93737,VT-42-0202,08220097,VTWIN,PU
CM253,37847,79546,WPS-27-M253,VT-48-1800,WPS,VTWIN
CM418,37849,79513,WPS-27-M418,VT-48-1706,WPS,VTWIN
CM4232,37850,79520,WPS-27-M423,VT-48-1759,WPS,VTWIN
CM4304,37855,79518,WPS-27-M430,VT-48-1754,WPS,VTWIN
3895VM,33508,61088,VT-11-9926,09120288,VTWIN,PU
VT2719,16068,61091,VT-11-9938,09030791,VTWIN,PU
120425,47512,73164,WPS-820-50574,VT-34-0767,WPS,VTWIN
22005,46774,80996,WPS-57-1111,VT-51-0371,WPS,VTWIN
NHD3243599,4017,90620,21200818,VT-32-2226,PU,VTWIN
NHD3243599,58949,90620,WPS-850-08771,VT-32-2226,WPS,VTWIN
19137,58566,87483,WPS-865-01206,VT-23-0429,WPS,VTWIN
C9889,19515,61806,09340744,VT-15-1304,PU,VTWIN
NWR610020,33542,54010,21201322,WPS-850-09218,PU,WPS
216321,25779,59616,09250112,VT-10-8138,PU,VTWIN
20159,63177,66812,VT-25-0991,VT-17-2019,VTWIN,VTWIN
791102,23017,38027,WPS-279-1102,21100320,WPS,PU
H070574BB,30080,41650,WPS-820-1516B,06140708,WPS,PU
202320C,31746,60081,09260698,VT-11-1034,PU,VTWIN
HDEG116,81188,95789,VT-51-1222,VT-51-1223,VTWIN,VTWIN
900,50133,62726,WPS-571-6119,VT-16-2131,WPS,VTWIN
72651,67428,75908,VT-38-0122,VT-27-0094,VTWIN,VTWIN
19134,58481,65576,VT-23-2316,WPS-865-01203,VTWIN,WPS
T030151,8142,77101,07110214,VT-40-0831,PU,VTWIN
78633,61589,90552,VT-14-8633,VT-32-1754,VTWIN,VTWIN
102100TIN,34596,51754,WPS-812-02114,06401667,WPS,PU
10105,40798,54548,WPS-576-04288,WPS-78-9829,WPS,WPS
206589SABLED,45564,72706,WPS-820-0376A,VT-33-3044,WPS,VTWIN
76110,39115,75968,WPS-57-6226,VT-38-0326,WPS,VTWIN
206220,1794,86414,VT-17-8230,DS199415,VTWIN,PU
NDP422,48934,62350,WPS-850-08402,VT-16-0478,WPS,VTWIN
200370,63962,89699,VT-19-3001,VT-31-0206,VTWIN,VTWIN
170571DB,17577,89312,06300268,VT-28-0451,PU,VTWIN
20180,41628,66721,WPS-820-1326C,VT-25-0729,WPS,VTWIN
120023,5034,36800,WPS-12-0023,04030184,WPS,PU
CHD412,34775,38592,WPS-490-2128,RCHD412,WPS,PU
1030,36891,50126,WPS-571-6113,WPS-132-7018,WPS,WPS
1008EX,36914,71035,WPS-132-7078,VT-32-3056,WPS,VTWIN
191202,43363,63648,WPS-820-52651,VT-19-0028,WPS,VTWIN
2400739,1683,96674,DS194143,VT-10-8323,PU,VTWIN
A33212SET,30639,86548,VT-17-9855,11060035,VTWIN,PU
NTBW4202,23245,71156,21200651,VT-32-6687,PU,VTWIN
NTBW4202,49083,71156,WPS-850-08758,VT-32-6687,WPS,VTWIN
H070790MB3,14239,88794,06150272,VT-26-2228,PU,VTWIN
20050,38867,89404,WPS-562-20230C,VT-28-2004,WPS,VTWIN
20050,80968,89404,VT-51-0327,VT-28-2004,VTWIN,VTWIN
14206,41822,51789,WPS-05-1084,WPS-820-50555,WPS,WPS
3021,43740,71027,WPS-132-7044,VT-32-3048,WPS,VTWIN
1009EX,36915,71037,WPS-132-7079,VT-32-3058,WPS,VTWIN
DS62,36935,71285,WPS-133-3002,VT-32-7777,WPS,VTWIN
DS62,13342,71285,VT-32-7777,DS62,VTWIN,PU
4124018C,34667,81958,DS222009,VT-54-2009,PU,VTWIN
202010,15222,31697,09260789,DS202011,PU,PU
202010,15222,60883,09260789,VT-11-6072,PU,VTWIN
202010,31697,60883,DS202011,VT-11-6072,PU,VTWIN
202110,15223,25260,09260800,DS373964,PU,PU
202110,15223,61448,09260800,VT-13-2110,PU,VTWIN
202110,25260,61448,DS373964,VT-13-2110,PU,VTWIN
2024400,15241,55592,09263458,WPS-191-27027S,PU,WPS
2020265,15242,83554,09262868,VT-11-6128,PU,VTWIN
2020915,15243,55563,09262946,WPS-191-17034,PU,WPS
87758,21374,50621,17020605,WPS-820-32023,PU,WPS
BA064902,15304,54444,22100663,WPS-28-61046,PU,WPS
312321,23839,92953,24010885,VT-37-8951,PU,VTWIN
V30ITWBS,56022,56023,WPS-206-40123,WPS-206-40122,WPS,WPS
2400130,3481,96669,DS194080,VT-10-8314,PU,VTWIN
3200353,12270,59538,VT-10-3510,09220111,VTWIN,PU
C9173,28175,61826,VT-15-1326,09341221,VTWIN,PU
106004,29061,90360,21020418,VT-32-0778,PU,VTWIN
214045,12736,59548,VT-10-4045,09250591,VTWIN,PU
20701,2206,46084,24011120,WPS-830-0319,PU,WPS
76312BCS,47251,74140,WPS-274-0714,VT-35-0591,WPS,VTWIN
6211CH,11702,74706,DS390211,VT-35-9178,PU,VTWIN
MCVOS2,57612,90904,WPS-275-01151,VT-32-9079,WPS,VTWIN
202066,31221,60052,07110096,VT-11-0994,PU,VTWIN
CM251,37845,79554,VT-48-1810,WPS-27-M251,VTWIN,WPS
201409,13568,51167,12102665,WPS-820-51154,PU,WPS
2022050,9354,60462,09263308,VT-11-2023,PU,VTWIN
6051865DLK,9023,39913,WPS-681-4781,09342119,WPS,PU
794002,29330,50222,21100993,WPS-279-2202,PU,WPS
6000,13090,51491,WPS-85-06000,18010359,WPS,PU
C9688,6685,61661,VT-15-0475,DS172086,VTWIN,PU
105120G,4043,49406,04040541,WPS-812-52308,PU,WPS
2020550,15208,60889,09262870,VT-11-6125,PU,VTWIN
70261,22985,71059,21070301,VT-32-3090,PU,VTWIN
030318AA,30318,41714,07030228,WPS-820-2305,PU,WPS
030318AA,30318,76312,07030228,VT-38-1736,PU,VTWIN
030318AA,41714,76312,WPS-820-2305,VT-38-1736,WPS,VTWIN
370293,29913,48866,08200152,WPS-820-2268,PU,WPS
C9886,13230,61803,09340742,VT-15-1302,PU,VTWIN
53128,53984,90232,WPS-194-53128,VT-32-0432,WPS,VTWIN
53128,17823,90232,06360450,VT-32-0432,PU,VTWIN
NWR10910020,23364,53999,WPS-850-09208,21201312,WPS,PU
120400,29027,71723,20100561,VT-33-0325,PU,VTWIN
10109,48777,54552,WPS-576-04291,WPS-820-51915,WPS,WPS
20093,75658,89259,VT-37-8635,VT-28-0200,VTWIN,VTWIN
20093,67015,75658,VT-37-8635,VT-25-2280,VTWIN,VTWIN
20093,67015,89259,VT-28-0200,VT-25-2280,VTWIN,VTWIN
053326,30111,46355,06100211,WPS-820-54351,PU,WPS
202133C,9305,37372,WPS-191-57032C,09260728,WPS,PU
202133C,37372,60160,WPS-191-57032C,VT-11-1191,WPS,VTWIN
202133C,9305,60160,09260728,VT-11-1191,PU,VTWIN
1705599MLS,424,39813,WPS-681-4006,09341601,WPS,PU
1705599MLS,39813,61838,WPS-681-4006,VT-15-1347,WPS,VTWIN
1705599MLS,424,61838,09341601,VT-15-1347,PU,VTWIN
206589SRLED,29479,41409,78052070,WPS-820-0370R,PU,WPS
210716,26150,44150,19133007,WPS-830-1136,PU,WPS
JGI1739307,9030,84773,09350371,VT-14-0955,PU,VTWIN
JGI1739307,9030,85476,09350371,VT-15-1448,PU,VTWIN
JGI1739307,84773,85476,VT-14-0955,VT-15-1448,VTWIN,VTWIN
11246,39849,81279,WPS-681-4332,VT-52-0026,WPS,VTWIN
846H.CT,4067,65529,17220761,VT-23-1782,PU,VTWIN
H070605MB,17454,67094,06101956,VT-26-0008,PU,VTWIN
161200,36317,91615,DS289231,VT-35-0101,PU,VTWIN
1677496XT1,9008,58119,09341583,WPS-681-5334,PU,WPS
1677496XT1,9008,61862,09341583,VT-15-1373,PU,VTWIN
1677496XT1,58119,61862,WPS-681-5334,VT-15-1373,WPS,VTWIN
K0216P2,19180,60234,09031582,VT-11-1321,PU,VTWIN
5020001008,26597,63569,DS199218,VT-18-3696,PU,VTWIN
3487341,94905,95090,VT-49-0419,VT-49-1722,VTWIN,VTWIN
74012,28142,88135,DS243851,VT-24-0142,PU,VTWIN
78570,88882,89054,VT-27-0183,VT-27-1131,VTWIN,VTWIN
112906,9558,74710,DS289111,VT-35-9185,PU,VTWIN
660325,13540,40247,WPS-70-660325,17412900,WPS,PU
2M6127020,45196,60268,VT-11-1365,WPS-865-02018,VTWIN,WPS
296550,4208,86553,DS199452,VT-17-9861,PU,VTWIN
298130,24800,59605,VT-10-8122,DS199075,VTWIN,PU
L226828M,29025,72118,20200399,VT-33-1273,PU,VTWIN
P7443,8749,75662,DS190693,VT-37-8672,PU,VTWIN
V30HTCGRB,11335,56661,06303426,WPS-206-40120,PU,WPS
117246,12419,66482,10060317,VT-24-7246,PU,VTWIN
K1609,12677,61026,K1609,VT-11-9729,PU,VTWIN
A1745157,4388,84183,09270011,VT-12-2116,PU,VTWIN
125001,12762,48763,04110191,WPS-820-51890,PU,WPS
120019,12766,71711,04030181,VT-33-0301,PU,VTWIN
120049,36811,70053,WPS-12-0049,VT-31-3943,WPS,VTWIN
120049,18444,70053,VT-31-3943,07060038,VTWIN,PU
K2804,19183,61106,VT-11-9985,09031678,VTWIN,PU
VRK1,9529,74727,VT-35-9290,DS390225,VTWIN,PU
328126,15253,75633,03650022,VT-37-8530,PU,VTWIN
A9110,4329,96696,09200068,VT-10-8523,PU,VTWIN
1229,15658,72904,20010124,VT-34-0175,PU,VTWIN
1229,15658,19452,20010124,09300248,PU,PU
1229,19452,72904,VT-34-0175,09300248,VTWIN,PU
298165,25742,59628,VT-10-8165,DS199114,VTWIN,PU
BTX5,26792,40969,WPS-810-5003,11311801,WPS,PU
2071,31017,40985,WPS-811-02071,09250537,WPS,PU
3000,31119,40989,WPS-811-03000,24010128,WPS,PU
JGI12053A,1674,84664,VT-14-0619,DS194089,VTWIN,PU
4025,19435,40996,WPS-811-04025,09290017,WPS,PU
4017,31080,40997,WPS-811-04050,09290072,WPS,PU
4017,40997,76942,WPS-811-04050,VT-40-0346,WPS,VTWIN
4017,31080,76942,09290072,VT-40-0346,PU,VTWIN
4018,31039,40998,WPS-811-04051,09290073,WPS,PU
1900005,20178,74121,10500302,VT-35-0548,PU,VTWIN
7000,14905,41006,WPS-811-07000,09320018,WPS,PU
7000,41006,87779,WPS-811-07000,VT-23-1727,WPS,VTWIN
7000,14905,87779,09320018,VT-23-1727,PU,VTWIN
7001,31037,41007,WPS-811-07001,09320019,WPS,PU
7001,41007,87358,WPS-811-07001,VT-23-0113,WPS,VTWIN
7001,31037,87358,09320019,VT-23-0113,PU,VTWIN
7050,41008,83755,WPS-811-07050,VT-12-0509,WPS,VTWIN
H070585N,21650,88716,06102304,VT-26-0962,PU,VTWIN
7062,14906,41011,WPS-811-07062,09320026,WPS,PU
7062,41011,95932,WPS-811-07062,VT-54-0412,WPS,VTWIN
7062,14906,95932,09320026,VT-54-0412,PU,VTWIN
7072,8551,41015,WPS-811-07072,09320028,WPS,PU
7073,41016,88246,WPS-811-07073,VT-24-0522,WPS,VTWIN
7073,41016,83770,WPS-811-07073,VT-12-0527,WPS,VTWIN
7073,83770,88246,VT-24-0522,VT-12-0527,VTWIN,VTWIN
77911,61323,93946,VT-12-7911,VT-42-1376,VTWIN,VTWIN
T101,13343,37638,WPS-26-44801,D101,WPS,PU
2M6198,45191,59745,VT-11-0160,WPS-865-02013,VTWIN,WPS
210209,22963,90146,21060224,VT-32-0241,PU,VTWIN
207770,1791,86403,DS199414,VT-17-7651,PU,VTWIN
78611,62195,70837,VT-15-8611,VT-32-1773,VTWIN,VTWIN
C320436,85,41536,05100182,WPS-820-0515,PU,WPS
A6773,4378,83853,09250284,VT-12-0717,PU,VTWIN
010127,744,41486,09342556,WPS-820-0080,PU,WPS
H0708051,29820,88790,06102196,VT-26-2259,PU,VTWIN
296900,12753,86421,DS199424,VT-17-8238,PU,VTWIN
217460,25723,59575,09251166,VT-10-5272,PU,VTWIN
206812CWH,25601,72606,20401182,VT-33-2241,PU,VTWIN
290304,25769,64128,DS199477,VT-20-0710,PU,VTWIN
294150,25771,61481,DS199739,VT-13-9251,PU,VTWIN
27162,41439,88482,WPS-82-7162,VT-24-7162,WPS,VTWIN
DP12G,3995,90992,21200061,VT-32-9626,PU,VTWIN
DP12G,58785,90992,WPS-850-08028,VT-32-9626,WPS,VTWIN
18754,26094,71434,10102480,VT-32-8754,PU,VTWIN
010107,40150,41483,WPS-820-0001,WPS-70-11071,WPS,WPS
320464,87,41529,WPS-820-0504,05100334,WPS,PU
21555,41570,76293,WPS-820-1104,VT-38-1555,WPS,VTWIN
21561,41571,93269,WPS-820-1105,VT-38-1561,WPS,VTWIN
316172A,41579,66816,WPS-820-1123C,VT-25-1095,WPS,VTWIN
200412,29405,72129,20010101,VT-33-1300,PU,VTWIN
126015,29028,71863,20100563,VT-33-0676,PU,VTWIN
310086S,41595,66698,WPS-820-1151C,VT-25-0658,WPS,VTWIN
19131,44279,58434,WPS-865-01200,WPS-820-50540,WPS,WPS
W150562,13588,89252,12010844,VT-28-2261,PU,VTWIN
20252B,41652,66857,WPS-820-1517B,VT-25-1293,WPS,VTWIN
110100,31939,38708,K110100,WPS-56-4256,PU,WPS
160024,41663,87202,WPS-820-1901,VT-21-0903,WPS,VTWIN
120069,7897,8388,07060207,17416863,PU,PU
V30HTCBS,17738,56656,06303421,WPS-206-40115,PU,WPS
202056,18553,60047,07110093,VT-11-0987,PU,VTWIN
71554,26053,89041,02100377,VT-27-1563,PU,VTWIN
A2620783,1678,84276,DS194207,VT-13-0111,PU,VTWIN
P80110,31125,75631,DS096647,VT-37-8517,PU,VTWIN
316275,19488,61639,09320149,VT-15-0361,PU,VTWIN
110293K,28627,41755,WPS-820-2667,11070035,WPS,PU
2020323R,31699,37319,09260194,WPS-191-17024,PU,WPS
190401B,41765,70512,WPS-820-2697,VT-32-1195,WPS,VTWIN
120185,28863,41802,WPS-820-50512,10130036,WPS,PU
