"product_id","sku","brand","source_vendor","name","image_url","http_status","content_type"
"33793","06620508","MAGNUM SHIELDING","PU","XR Handlebar Installation Kit - 12""-14"" Ape Hangers - '96-'06 FLH - Black","http://asset.lemansnet.com/z/L0IvRS8xL0JFMUYxMzVFLTg3MjAtNEE4NC04QTdCLTc4NTFEOEVCMUQ4Mw==","200","application/x-zip"
"30962","10103342","FEULING PARTS","PU","BA Velocity Stack - Red - Evolution Big Twin/Twin Cam","http://asset.lemansnet.com/z/LzYvQy8yLzZDMjgzODMxLTlFNTEtNEJBNC1CMzRGLUFBQzc2NUVGMkMwOA==","200","application/x-zip"
"30092","06020404","DRAG SPECIALTIES","PU","Forged Aluminum Handlebar Risers - Straight - 3-1/2"" - Black","http://asset.lemansnet.com/z/LzUvRC9FLzVERTA5OTFFLTdENDItNEIyRS1CMjhCLUZCRkJDODQ0MkFFRg==","200","application/x-zip"
"2281","09341364","COMETIC","PU","Oil Pump Cover Gasket - '92-'99 EVO","http://asset.lemansnet.com/z/LzkvMC8wLzkwMDVFODhCLUIyMDktNEEzMy04NEM5LTQ2QUY5NTk3OTFEQw==","200","application/x-zip"
"19536","09341217","COMETIC","PU","Rocker Box Gasket Kit with seals 0.530"" OD Value guides - Screamin' Eagle","http://asset.lemansnet.com/z/LzgvNS9GLzg1RjVFMkRELTgwMjYtNDMwMy04NkRDLTdGQTMwQzZGMDYwQw==","200","application/x-zip"
"28982","20200283","DRAG SPECIALTIES","PU","Replacement Lens - Smoke - Honeycomb","http://asset.lemansnet.com/z/LzkvNy9GLzk3RkIzQTc3LTBGNTEtNEI3RC05QTc0LTJDNzA0MDU4MzJBNg==","200","application/x-zip"
"34131","08021102","MUSTANG","PU","Solo Touring Seat - Black - FL","http://asset.lemansnet.com/z/LzgvQi82LzhCNkU4OTcyLTFCODItNEY3Qy04ODA0LUI1OTYxODhFOTYzMiwvNC82L0YvNDZGM0MwRDctMzQ5MC00NEU3LTk0RUMtMDg0RjU3ODYyNjM0","200","application/x-zip"
"6585","DS189855","Colony","PU","Hardware Kit - Motor Case Studs - Chrome - '70-'78 Harley-Davidson","http://asset.lemansnet.com/z/L0IvMS8yL0IxMkFEOTJBLUM1MDAtNDUyMS05Rjk3LTdDMENFNTg4QTcyQiwvQi8yLzYvQjI2MzhCNzItMkNDRi00MzEwLUJGQTUtMDQ3QkFDQ0IwMTg4","200","application/x-zip"
"17373","06100751","Burly Brand","PU","Handlebar Cable and Brake Line Kit for Clubman Handlebars - '07-'22 XL","http://asset.lemansnet.com/z/LzIvRC82LzJENkREMkZCLTkyQTktNDk1Qy1CMzc3LTU0OUQzQzY2ODkzRQ==","200","application/x-zip"
"18093","06521399","DRAG SPECIALTIES","PU","High-Efficiency Black Vinyl Clutch Cable - 66-5/8""","http://asset.lemansnet.com/z/LzAvMy9ELzAzREMyMjNELUZGMUYtNDYxRi05QTc2LTVFNzExMTY2QUU1OA==","200","application/x-zip"
