sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
32-8208,Handlebar Wiring Harness and Chrome Switch Assembly,https://www2.vtwinmfg.com/handlebar-wiring-harness-and-chrome-switch-assembly.html,$100.48,,FX 1973-1981 | FL 1973-1981 | XL 1973-1981,"Handlebar wiring harness and switch assembly includes wire connectors, buttons, screws, stop light switch rubber boot, and switch retaining plates. Wiring is 40"" long and is color coded to match stock wires. Kit includes wire connectors, button, screws, stop light switch rubber boot, and switch retaining plates. Wiring harness kits are color coded to match stock wires at 40"" long, kit will fit tall handlebars.",1 - EA,Chrome,Volt Tech,Imported,1062,28-2114 - Stop Switch Cap Rubber 32-8005 - Handlebar Wiring Harness Kit Stock 32-9061 - Handlebar Rocker Switch Hi-Low Chrome 32-9060 - Handlebar Rocker Switch Run-Off Chrome,,,product_page,
32-8009,Handlebar Wiring Harness Kit Extended,https://www2.vtwinmfg.com/handlebar-wiring-harness-kit-extended-6.html,$27.09,,FL 1982-1984 | XL 1982-1995 | FLST 1986-1995 | FX 1982-1984 | FXR 1982-1994 | FXST 1984-1995,"Handlebar wiring harness kit is color coded, extended type measures 47"" long.",1 - KIT,,Volt Tech,Imported,1063,,,"{""Measurements"": ""Length: 47\""""}",product_page,
32-8208,Handlebar Wiring Harness and Chrome Switch Assembly,https://www2.vtwinmfg.com/handlebar-wiring-harness-and-chrome-switch-assembly.html,$100.48,,FX 1973-1981 | FL 1973-1981 | XL 1973-1981,"Handlebar wiring harness and switch assembly includes wire connectors, buttons, screws, stop light switch rubber boot, and switch retaining plates. Wiring is 40"" long and is color coded to match stock wires. Kit includes wire connectors, button, screws, stop light switch rubber boot, and switch retaining plates. Wiring harness kits are color coded to match stock wires at 40"" long, kit will fit tall handlebars.",1 - EA,Chrome,Volt Tech,Imported,1062,28-2114 - Stop Switch Cap Rubber 32-8005 - Handlebar Wiring Harness Kit Stock 32-9061 - Handlebar Rocker Switch Hi-Low Chrome 32-9060 - Handlebar Rocker Switch Run-Off Chrome,,,product_page,
32-0816,"Handlebar Switch Assembly Set 106""",https://www2.vtwinmfg.com/handlebar-switch-assembly-set-106.html,$108.12,,FXD 1996-2006 | FXST 1996-2006 | XL 1996-2006 | FLST 1996-2006 | FLT 1996-2006,"Handlebar switch kit includes wiring. Switch kit measures 106"" in overall length and is a 7 piece set with chrome finish.",1 - KIT,Chrome,Volt Tech,Imported,1058,,,,product_page,
32-8009,Handlebar Wiring Harness Kit Extended,https://www2.vtwinmfg.com/handlebar-wiring-harness-kit-extended-6.html,$27.09,,FL 1982-1984 | XL 1982-1995 | FLST 1986-1995 | FX 1982-1984 | FXR 1982-1994 | FXST 1984-1995,"Handlebar wiring harness kit is color coded, extended type measures 47"" long.",1 - KIT,,Volt Tech,Imported,1063,,,"{""Measurements"": ""Length: 47\""""}",product_page,
32-0816,"Handlebar Switch Assembly Set 106""",https://www2.vtwinmfg.com/handlebar-switch-assembly-set-106.html,$108.12,,FXD 1996-2006 | FXST 1996-2006 | XL 1996-2006 | FLST 1996-2006 | FLT 1996-2006,"Handlebar switch kit includes wiring. Switch kit measures 106"" in overall length and is a 7 piece set with chrome finish.",1 - KIT,Chrome,Volt Tech,Imported,1058,,,,product_page,
32-8208,Handlebar Wiring Harness and Chrome Switch Assembly,https://www2.vtwinmfg.com/handlebar-wiring-harness-and-chrome-switch-assembly.html,$100.48,,FX 1973-1981 | FL 1973-1981 | XL 1973-1981,"Handlebar wiring harness and switch assembly includes wire connectors, buttons, screws, stop light switch rubber boot, and switch retaining plates. Wiring is 40"" long and is color coded to match stock wires. Kit includes wire connectors, button, screws, stop light switch rubber boot, and switch retaining plates. Wiring harness kits are color coded to match stock wires at 40"" long, kit will fit tall handlebars.",1 - EA,Chrome,Volt Tech,Imported,1062,28-2114 - Stop Switch Cap Rubber 32-8005 - Handlebar Wiring Harness Kit Stock 32-9061 - Handlebar Rocker Switch Hi-Low Chrome 32-9060 - Handlebar Rocker Switch Run-Off Chrome,,,product_page,
23-9047,Rear Caliper Bracket Chrome,https://www2.vtwinmfg.com/rear-caliper-bracket-chrome.html,$101.39,40929-87,XL 1987-1999 Late 1987,"Chrome rear caliper bracket for 1987-1999 calipers. The mounting holes measure 4-1/4"" center to center.",1 - EA,Chrome,V-Twin,Imported,910,,,"{""Location"": ""Rear""}",product_page,
22-0720,Rocker Clutch Kit Chrome,https://www2.vtwinmfg.com/rocker-clutch-kit-chrome.html,$242.91,,FL 1941-1984 | UL 1938-1948 | EL 1936-1952,"Includes bracket with bushings installed, pedal, spring cover, rod and all friction components. The clutch pull rod connects to the arm on the pivot shaft. This provides an offset to use with an aluminum inner primary cover. Order pull rod end and bolt separately. *NOTE: Can also be used on 1952-1984 Big Twin models when converting to handshift. 1971-1984 models will also require spacer, V-Twin #21-0313. 1965-1978 models will also require V-Twin #18-3606 clutch release lever. 1965-1985 FL models wilil require a spacer, V-Twin 21-0313, rod lever, V-Twin #49-0145 and a snap ring, V-Twin     #12-0907.  Included the foot clutch rod lever with offset.   *NOTE: Inner arm position for use with aluminum primay covers. Spacer required behind rocker clutch assembly as shown.                                  For tin primary applications 1941-1984 FL and 1936-1952 EL, rod can be connected by the foot lever clutch pin directly to the pedal.",1 - KIT,,V-Twin,Imported,248,21-0932 - Lee Style Jockey Clutch Pedal 21-0205 - Chrome Tank Hand Shifter Rod End Shoulder Bolt 18-3616 - Foot Clutch Lever Rod Chrome 13-0170 - Foot Clutch Pedal Spring Chrome,Suggested to use with #21-0313 Forward Control Frame Spacer Left Side. Suggested to use with #12-0907 Foot Clutch Rod End Snap     Ring.,,product_page,
41-0194,Spectro Heavy Duty DOT 5 Silicone Brake Fluid,https://www2.vtwinmfg.com/dot-5-brake-fluid.html,$53.29,,All models,Spectro heavy duty golden blend DOT 5 silicone brake fluid comes in a 12 ounce bottle. Designed to surpass all DOT 5 specifications and requirements. Heavy duty DOT 5 is the ideal brake fluid for all Twins specifying a DOT 5 fluid but its better because this fluid beats spec in every way. Meets full OEM requirements and should be used according to the manufacturer's instructions. This fluid is non-hygroscopic and will not absorb water or harm painted surfaces. Specially formulated for all applications. **NOTE: Do not use when DOT 5.1 or DOT 4 fluid is specified.,1 - EA,,Spectro Oils,USA,1288,,,,product_page,
22-1042,Chrome Kick Starter Kit,https://www2.vtwinmfg.com/chrome-kick-starter-kit-2.html,$385.86,,FL 1941-1984 | EL 1936-1940 | FX 1971-1984 | UL 1937-1948,"Chrome kick starter kit comes partially assembled. Includes a chrome 1941-53 style offset arm. The cover has the clutch release shaft, finger, and kick starter shaft with chrome spring and gear installed. Ratchet kicker gear is 16 tooth.                                                                                                                                                                                                                                                                                                                                                                      Includes a chrome offset arm to fit 1954-1984 FL models.",1 - KIT,,Motorshop,Imported,554,43-0101 - Kick Starter Chrome Cover 17-0401 - Kick Starter Mainshaft Gear 16 Tooth 17-0409 - Oil Deflector 15-0158 - Transmission Side Cover Gasket,,,product_page,
9619-18T,Shifter Bracket Hex Bolt Kit,https://www2.vtwinmfg.com/shifter-bracket-bolt-kit-hex-type.html,$18.95,,FLT 1980-1986 | FX 1971-1984 | FLST 1986-1999 | FXST 1984-1999 | FL 1936-1984 | FXR 1982-1994,Hex type shifter bracket bolt kit with a parkerized finish.,1 - KIT,,V-Twin,Imported,,,,,product_page,
22-1678,Rocker Clutch Pedal Assembly,https://www2.vtwinmfg.com/rocker-clutch-pedal-assembly-1.html,$242.90,,UL 1938-1939 Late 1938 | EL 1938-1939 Late 1938,"Rocker clutch pedal assembly is a complete unit including the pedal, bracket, friction kit, cover and spring. Order correct clutch pull rod separately. Clutch pull rod connects to the pin riveted to the inside of the pedal.   For exact restoration on 1936-1978 models.                                                                                                                                                                                                                                                                                                                                                      *NOTE: Must order the pull rod and pull rod end separately.",1 - EA,,V-Twin,Imported,579,21-0932 - Lee Style Jockey Clutch Pedal 21-0205 - Chrome Tank Hand Shifter Rod End Shoulder Bolt,Suggested to use with #18-3614 Foot Clutch Pull Rod Chrome. Suggested to use with #18-3617 Foot Clutch Pull Rod End     Chrome.,,product_page,
41-0119,Nevr-Dull Wadding Polish,https://www2.vtwinmfg.com/nevr-dull-wadding-polish.html,$23.69,,All models,"Looking for a quality cleaner for all that chrome? Than you will want to try Nevr-Dull wadding polish. This is a cotton wadding to clean and polish chrome aluminum and brass. To use, you simply tear off a small wad and rub the surface to be cleaned. You then polish with a dry cloth. The polish leaves a beautiful showroom finish with a protective film. Polish comes in a 5 ounce jar.                                                                                                                                                                                                                                                                                                   *NOTE: Not for sale in California.",1 - EA,,George Basch,USA,1287,,,,product_page,
22-1680,FXD Mid Control Kit,https://www2.vtwinmfg.com/fxd-mid-control-kit-1.html,$454.92,,FXD 2006-2017,"FXD mid control kit includes a polished brake pedal, chrome rod, black master cylinder, chrome shifter lever and black peg mounts. *NOTE: When converting FXD models to mid controls, the inner primary must have provision to accept shifter shaft. FXDWG with OEM forward controls do not have the bushing in the inner primary to accept mid shifter shaft, this require an FXD inner primary with shifter shaft bushing hole.",1 - KIT,,V-Twin,Imported,257,23-1838 - FXD Rear Brake Pedal with Rod Polished 21-0901 - Shifter Footpeg Black Rubber 27-0841 - FXD Driver Footpeg Support Set Black 21-2063 - Shifter Lever Chrome,,,product_page,
