id,name,vendor_sku,change_to
92979,Chrome Shift Gate Screw,37-9026,
82778,Chrome Stock Headbolt with Aluminum Heads,8216-18,
69636,Chrome Universal Mount Clamp Set 1-1/8 inch,31-0696,
69638,Chrome Universal Mount Clamp Set 1-3/8 inch,31-0698,
69635,Chrome Universal Mount Clamp Set 1 inch,31-0695,
57136,"CHUBBY 10"" OUTLAWZ BLACK FLTR 24-25  ST 25",830-0610NCB,Handlebar ape hanger
57135,"CHUBBY 10"" OUTLAWZ CHROME FLTR 24-25  ST 25",830-0610NC,Handlebar ape hanger
57098,"CHUBBY 12"" OUTLAWZ BLACK FLTR 24-25  ST 25",830-0612NCB,Handlebar ape hanger
57137,"CHUBBY 12"" OUTLAWZ CHROME FLTR 24-25  ST 25",830-0612NC,Handlebar ape hanger
37325,"CHUBBY 16"" OUTLAWZ BLACK FLTR 24-25  ST 25",830-0616NCB,Handlebar ape hanger
37034,"CHUBBY 16"" OUTLAWZ CHROME FLTR 24-25  ST 25",830-0616NC,Handlebar ape hanger
95134,Clamp on Rear Mount Block,49-1987,
95135,Clamp on Rear Mount Connector,49-1988,
72354,Clamp On USB Charger Outlet,33-1699,
82100,Cleveland Greeting Card,68-0020,
65914,Coil Mounting Kit,2327-23,Ignition coil
92706,Coil Set Screw,37-1040,Ignition coil
82101,Comics Greeting Card,68-0021,Memorabilia 
92700,Condenser Mount Screw,37-1033,
66099,Cone Cover Nut Cone Type,24-0663,
88120,Cone Cover Nut Hex Type Chrome,24-0113,
88285,Cone Stem Nut Chrome,24-0679,
88524,Control Coil Nuts Nickel Plated,2459-4,
15627,Cover Care Token,99041483,
80165,Cycle Ray Lens Kit,49-1741,
82977,Cylinder Base Washer Tab Black,8861-8,engine
82976,Cylinder Base Washer Tab Chrome,8860-8,engine
92992,Cylinder Washer Set Zinc,37-9074,engine
95088,Damper Spider Washer,49-1715,Front fork
95080,Damper Stem Screw,49-1705,Front fork
95079,Damper Stem Screw Zinc,49-1704,Front fork
79090,DEALER MARKETING DOOR PRIZE,48-0190,Remove
79589,De Dion Motor Engine Model,48-1901,
74298,DELLORTO EMULSION TUBE #262,35-0945,carb
74065,DELLORTO PRIMARY JET #45,35-0386,carb
90740,Deutch Sealed Connector Assembly,32-7436,Electrical
91655,Diaphragm Cover Plugs Zinc,35-0349,
76774,Die Cast Tank Trim Cover Black,39-1109,Memorabilia 
76772,Die Cast Tank Trim Cover Chrome,39-0999,Memorabilia 
76746,Die Cast Tank Trim Cover Chrome,39-0926,Memorabilia 
47445,DIMPLE DIE SWOOP CHIN SCOOP `17-20 FLH/T,827-05738,Frame chin scoop
57155,DJ 100 TOKEN TUNING PACK,133-4042,Tool tuner tokens
57156,DJ 200 TOKEN TUNING PACK,133-4043,Tool tuner tokens
