sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
16-0529,Mini Motorcycle Lift Tool,https://www2.vtwinmfg.com/mini-motorcycle-lift-tool-16-0529.html,$212.32,,All models,"Use the lift on the table or floor to free wheels. 1000 lb capacity with rubber padded top. Mini bike life tool has a wide stance and fully rubberized top plate, features Road Warrior bright orange finish with a rubber padded top. V-Twin exclusive!",1 - EA,,Motorshop,Imported,1289,16-0530 - Replacement Threaded Lift Rod,,"{""Measurements"": ""Lowered Height: 3-1/2\"" Max Raised Height: 16\"" Length: 17-1/2\"""", ""Lowered Height: 3-1/2\"""": ""Max Raised Height: 16\"""", ""Other Notes"": ""Width: 5-9/10\""""}",product_page,
41-0050,Oil Change Kit,https://www2.vtwinmfg.com/oil-change-kit.html,$91.75,,FLST 1986-1988 | FLT 1980-1998 | XL 1986-UP | FXR 1982-1994 | FXST 1984-1988,Your all in one kit for that quick oil change. Kit comes complete with 4 Quarts of 20w50 Superior Spectro motor oil and chrome V-Twin Motor shop oil filter.,1 - KIT,,V-Twin,USA,441,16-0529 - Mini Motorcycle Lift Tool 40-0709 - Stock Spin On Oil Filter,,,product_page,
41-0050,Oil Change Kit,https://www2.vtwinmfg.com/oil-change-kit.html,$91.75,,FLST 1986-1988 | FLT 1980-1998 | XL 1986-UP | FXR 1982-1994 | FXST 1984-1988,Your all in one kit for that quick oil change. Kit comes complete with 4 Quarts of 20w50 Superior Spectro motor oil and chrome V-Twin Motor shop oil filter.,1 - KIT,,V-Twin,USA,441,16-0529 - Mini Motorcycle Lift Tool 40-0709 - Stock Spin On Oil Filter,,,product_page,
24-9993,41mm Chrome Fork Boot Cover Set,https://www2.vtwinmfg.com/41mm-chrome-fork-boot-cover-set.html,$40.20,45415-82,FXWG 1980-1986 | FXDWG 1993-2005 | FXST 1984-2007,"Chrome 41mm fork boot cover set installs over stock rubber fork boot by the interlocking springs supplied with the kit, to securely hold boot covers in place. Sold as a set of 2.",1 - SET,,V-Twin,Imported,294,,,,product_page,
28-0440,39mm Gator Fork Boots,https://www2.vtwinmfg.com/sportster_1952_up/front_fork/sliders.html/39mm-gator-fork-boots.html,$47.22,,FXD 1991-2017 with 39mm Fork | XL 1988-UP,"Gator fork boots 39mm are accordian style. Boots are 7"" long and collapsible to 3-1/2"". Boots are black. For use on FXD 39mm forks. Sold in a quanity of 2.",1 - SET,,V-Twin,Imported,294,,,"{""Measurements"": ""Overall Length: 7\""""}",product_page,
37-0935,License Plate Reflector Set Green,https://www2.vtwinmfg.com/license-plate-reflector-set-green.html,$27.08,,Custom application,Green reflectors for license plate are original glo-brite style with real glass.,1 - SET,,V-Twin,Imported,1157,,,"{""Measurements"": ""Outer Diameter: 1\"" Length: 1-1/4\"""", ""Outer Diameter: 1\"""": ""Length: 1-1/4\""""}",product_page,
48-2605,V-Twin Metal Box,https://www2.vtwinmfg.com/v-twin-metal-box.html,$21.99,,Custom application,"Top load metal box with V-Twin's logo. Measures 12"" x 6"" x 6"".",1 - EA,,V-Twin,Imported,,,,,product_page,
22-0740,Spring Fork Front Brake Kit,https://www2.vtwinmfg.com/spring-fork-front-brake-kit.html,$691.26,,EL 1938-1948 | UL 1938-1948,"Spring Fork front brake kit features black and parkerized finish components. Includes finned brake drum, an early brake stay bar, and 1938-40 style backing plate.",1 - KIT,Parkerized,V-Twin,Imported,796,,,"{""Location"": ""Front""}",product_page,
16-0095,Needle Jet Seat Cutter Tool,https://www2.vtwinmfg.com/sportster_1952_up/fuel_air_system/tools.html/needle-jet-seat-cutter-tool.html,$123.76,,All CV carburetors only,Needle jet seat cutter tool is for use on CV Keihin carburetors. It eliminates gasoline seepage from around the needle jet and creates a smooth and concentric seat.,1 - EA,,Motorshop,USA,406,,,,product_page,
48-2605,V-Twin Metal Box,https://www2.vtwinmfg.com/v-twin-metal-box.html,$21.99,,Custom application,"Top load metal box with V-Twin's logo. Measures 12"" x 6"" x 6"".",1 - EA,,V-Twin,Imported,,,,,product_page,
