row_id,catalog_source,source_page,section,fits_raw,hd_model_code,year_start,year_end,note,cable_type,variant,sku,sku_nodash,oem_number,length,elbow_or_adjuster,travel,cruise_ready,catalog_unified_id,catalog_unified_name,already_has_oem
56,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLHTCU,FLHTCU,1990,1995,,throttle,black_vinyl,0650-0349,06500349,56327-90,"38""",70°,"5""",,3175,"Black Vinyl Throttle Cable - 38""",yes
57,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLHTCU,FLHTCU,1990,1995,,idle,braided,0651-0123,06510123,56323-90,"37 7/8""",70°,"4 3/4""",N,14136,"Stainless Braided Idle Cable - 38""",yes
58,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLHTCU,FLHTCU,1990,1995,,idle,black_vinyl,0651-0160,06510160,56323-90,"37 7/8""",70°,"4 3/4""",N,3259,"Black Vinyl Idle Cable - 38""",yes
59,oldbook_2026,890,DRESSER (5-SPEED),For 87-89 FLHTCU,FLHTCU,1987,1989,,throttle,braided,0650-0313,06500313,56327-81B,"42 1/2""",70°,"3 3/4""",,14161,"Stainless Braided Throttle Cable - 42-1/2""",no
60,oldbook_2026,890,DRESSER (5-SPEED),For 87-89 FLHTCU,FLHTCU,1987,1989,,throttle,black_vinyl,0650-0350,06500350,56327-81B,"42 1/2""",70°,"3 3/4""",,14472,"Black Vinyl Throttle Cable - 42-1/2""",no
61,oldbook_2026,890,DRESSER (5-SPEED),For 87-89 FLHTCU,FLHTCU,1987,1989,,idle,braided,0651-0126,06510126,56328-81B,"42 1/2""",70°,"4""",N,24,"Stainless Braided Idle Cable - 42-1/2""",no
62,oldbook_2026,890,DRESSER (5-SPEED),For 87-89 FLHTCU,FLHTCU,1987,1989,,idle,black_vinyl,0651-0163,06510163,56328-81B,"42 1/2""",70°,"4""",N,14277,"Black Vinyl Idle Cable - 42-1/2""",no
63,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTCU/I,FLHTCU/I,1996,1998,,throttle,braided,0650-0301,06500301,56357-96,"41 3/4""",70°,"5 1/4""",,14338,"Stainless Braided Throttle Cable - 41-3/4""",yes
64,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTCU/I,FLHTCU/I,1996,1998,,throttle,black_vinyl,0650-0338,06500338,56357-96,"41 3/4""",70°,"5 1/4""",,3096,"Black Vinyl Throttle Cable - 41-3/4""",yes
65,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTCU/I,FLHTCU/I,1996,1998,,idle,braided,0651-0169,06510169,56358-96,"41 1/2""",70°,"4 11/16""",Y,8037,"Stainless Braided Idle Cable - Cruise - 41-1/2""",yes
66,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTCU/I,FLHTCU/I,1996,1998,,idle,black_vinyl,0651-0179,06510179,56358-96,"41 1/2""",70°,"4 11/16""",Y,3080,"Black Vinyl Idle Cable - Cruise - 41-1/2""",yes
67,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLTCU,FLTCU,1990,1995,,throttle,braided,0650-0312,06500312,56327-90,"38""",70°,"5""",,456,"Stainless Braided Throttle Cable - 38""",yes
68,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLTCU,FLTCU,1990,1995,,throttle,black_vinyl,0650-0349,06500349,56327-90,"38""",70°,"5""",,3175,"Black Vinyl Throttle Cable - 38""",yes
69,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLTCU,FLTCU,1990,1995,,idle,braided,0651-0123,06510123,56323-90,"37 7/8""",70°,"4 3/4""",N,14136,"Stainless Braided Idle Cable - 38""",yes
70,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLTCU,FLTCU,1990,1995,,idle,black_vinyl,0651-0160,06510160,56323-90,"37 7/8""",70°,"4 3/4""",N,3259,"Black Vinyl Idle Cable - 38""",yes
71,oldbook_2026,890,DRESSER (5-SPEED),For 96 FLTCU/I,FLTCU/I,1996,1996,,throttle,braided,0650-0301,06500301,56357-96,"41 3/4""",70°,"5 1/4""",,14338,"Stainless Braided Throttle Cable - 41-3/4""",yes
72,oldbook_2026,890,DRESSER (5-SPEED),For 96 FLTCU/I,FLTCU/I,1996,1996,,throttle,black_vinyl,0650-0338,06500338,56357-96,"41 3/4""",70°,"5 1/4""",,3096,"Black Vinyl Throttle Cable - 41-3/4""",yes
73,oldbook_2026,890,DRESSER (5-SPEED),For 96 FLTCU/I,FLTCU/I,1996,1996,,idle,braided,0651-0169,06510169,56359-96,"41 1/2""",70°,"4 11/16""",Y,8037,"Stainless Braided Idle Cable - Cruise - 41-1/2""",no
74,oldbook_2026,890,DRESSER (5-SPEED),For 96 FLTCU/I,FLTCU/I,1996,1996,,idle,black_vinyl,0651-0179,06510179,56359-96,"41 1/2""",70°,"4 11/16""",Y,3080,"Black Vinyl Idle Cable - Cruise - 41-1/2""",no
75,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLTR,FLTR,1998,1998,,throttle,braided,0650-0413,06500413,56327-96,"38""",70°,"5""",,14480,"Stainless Braided Throttle Cable - 38""",yes
76,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLTR,FLTR,1998,1998,,throttle,black_vinyl,0650-0406,06500406,56327-96,"38""",70°,"5""",,14477,"Black Vinyl Throttle Cable - 38""",yes
77,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLTR,FLTR,1998,1998,,idle,black_vinyl,0651-0238,06510238,56351-96,"38 1/16""",70°,"4 3/4""",Y,8063,"Black Vinyl Idle Cable - 38-1/16""",yes
78,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLTR/I,FLTR/I,1998,1998,,throttle,braided,0650-0301,06500301,56357-96,"41 3/4""",70°,"5 1/4""",,14338,"Stainless Braided Throttle Cable - 41-3/4""",yes
79,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLTR/I,FLTR/I,1998,1998,,throttle,black_vinyl,0650-0338,06500338,56357-96,"41 3/4""",70°,"5 1/4""",,3096,"Black Vinyl Throttle Cable - 41-3/4""",yes
80,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLTR/I,FLTR/I,1998,1998,,idle,braided,0651-0169,06510169,56358-96,"41 1/2""",70°,"4 11/16""",Y,8037,"Stainless Braided Idle Cable - Cruise - 41-1/2""",yes
81,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLTR/I,FLTR/I,1998,1998,,idle,black_vinyl,0651-0179,06510179,56358-96,"41 1/2""",70°,"4 11/16""",Y,3080,"Black Vinyl Idle Cable - Cruise - 41-1/2""",yes
82,oldbook_2026,890,DRESSER (5-SPEED),For 90-93 FLHS,FLHS,1990,1993,,throttle,braided,0650-0312,06500312,56327-90,"38""",70°,"5""",,456,"Stainless Braided Throttle Cable - 38""",yes
83,oldbook_2026,890,DRESSER (5-SPEED),For 90-93 FLHS,FLHS,1990,1993,,throttle,black_vinyl,0650-0349,06500349,56327-90,"38""",70°,"5""",,3175,"Black Vinyl Throttle Cable - 38""",yes
84,oldbook_2026,890,DRESSER (5-SPEED),For 90-93 FLHS,FLHS,1990,1993,,idle,braided,0651-0123,06510123,56328-90,"38""",70°,"4 3/4""",N,14136,"Stainless Braided Idle Cable - 38""",yes
85,oldbook_2026,890,DRESSER (5-SPEED),For 90-93 FLHS,FLHS,1990,1993,,idle,black_vinyl,0651-0160,06510160,56328-90,"38""",70°,"4 3/4""",N,3259,"Black Vinyl Idle Cable - 38""",yes
86,oldbook_2026,890,DRESSER (5-SPEED),For 87-89 FLHS,FLHS,1987,1989,,throttle,braided,0650-0313,06500313,56327-81B,"42 1/2""",70°,"3 3/4""",,14161,"Stainless Braided Throttle Cable - 42-1/2""",no
87,oldbook_2026,890,DRESSER (5-SPEED),For 87-89 FLHS,FLHS,1987,1989,,throttle,black_vinyl,0650-0350,06500350,56327-81B,"42 1/2""",70°,"3 3/4""",,14472,"Black Vinyl Throttle Cable - 42-1/2""",no
88,oldbook_2026,890,DRESSER (5-SPEED),For 87-89 FLHS,FLHS,1987,1989,,idle,braided,0651-0126,06510126,56328-81B,"42 1/2""",70°,"4""",N,24,"Stainless Braided Idle Cable - 42-1/2""",no
89,oldbook_2026,890,DRESSER (5-SPEED),For 87-89 FLHS,FLHS,1987,1989,,idle,black_vinyl,0651-0163,06510163,56328-81B,"42 1/2""",70°,"4""",N,14277,"Black Vinyl Idle Cable - 42-1/2""",no
90,oldbook_2026,890,DRESSER (5-SPEED),For 90-91 FLTC,FLTC,1990,1991,,throttle,braided,0650-0312,06500312,56327-90,"38""",70°,"5""",,456,"Stainless Braided Throttle Cable - 38""",yes
91,oldbook_2026,890,DRESSER (5-SPEED),For 90-91 FLTC,FLTC,1990,1991,,throttle,black_vinyl,0650-0349,06500349,56327-90,"38""",70°,"5""",,3175,"Black Vinyl Throttle Cable - 38""",yes
92,oldbook_2026,890,DRESSER (5-SPEED),For 90-91 FLTC,FLTC,1990,1991,,idle,braided,0651-0123,06510123,56328-90,"38""",70°,"4 3/4""",N,14136,"Stainless Braided Idle Cable - 38""",yes
93,oldbook_2026,890,DRESSER (5-SPEED),For 90-91 FLTC,FLTC,1990,1991,,idle,black_vinyl,0651-0160,06510160,56328-90,"38""",70°,"4 3/4""",N,3259,"Black Vinyl Idle Cable - 38""",yes
